epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.004750000000024999,0.004750000000024999,,49,,,,
0,,,,49,0.734375,-0.710519552230835,,
,0.004750000000024999,0.004750000000024999,,99,,,,
0,,,,99,0.841796875,-0.815259575843811,,
0,,,,107,,,0.8425999879837036,-0.8283711075782776
0,,,3.9942500591278076,107,,,,
,0.004750000000024999,0.004750000000024999,,149,,,,
1,,,,149,0.89453125,-0.8820629119873047,,
,0.004750000000024999,0.004750000000024999,,199,,,,
1,,,,199,0.841796875,-0.8260015249252319,,
1,,,,215,,,0.8582000136375427,-0.8468834161758423
1,,,8.3804349899292,215,,,,
,0.004750000000024999,0.004750000000024999,,249,,,,
2,,,,249,0.86328125,-0.8546035289764404,,
,0.004750000000024999,0.004750000000024999,,299,,,,
2,,,,299,0.9296875,-0.9010394811630249,,
2,,,,323,,,0.9297999739646912,-0.9149426817893982
2,,,3.944629669189453,323,,,,
,0.004750000000024999,0.004750000000024999,,349,,,,
3,,,,349,0.958984375,-0.9480262398719788,,
,0.004750000000024999,0.004750000000024999,,399,,,,
3,,,,399,0.9453125,-0.9324628114700317,,
3,,,,431,,,0.9488000273704529,-0.9376258850097656
3,,,4.173222064971924,431,,,,
,0.004750000000024999,0.004750000000024999,,449,,,,
4,,,,449,0.9609375,-0.9513713121414185,,
,0.004750000000024999,0.004750000000024999,,499,,,,
4,,,,499,0.9765625,-0.964478611946106,,
4,,,,539,,,0.9549999833106995,-0.9447031021118164
4,,,4.028213024139404,539,,,,
,0.004750000000024999,0.004750000000024999,,549,,,,
5,,,,549,0.98046875,-0.9632460474967957,,
,0.004750000000024999,0.004750000000024999,,599,,,,
5,,,,599,0.974609375,-0.9665823578834534,,
5,,,,647,,,0.9598000049591064,-0.9487577080726624
5,,,4.063944339752197,647,,,,
,0.004750000000024999,0.004750000000024999,,649,,,,
6,,,,649,0.966796875,-0.9584555625915527,,
,0.004750000000024999,0.004750000000024999,,699,,,,
6,,,,699,0.96484375,-0.9554799795150757,,
,0.004750000000024999,0.004750000000024999,,749,,,,
6,,,,749,0.97265625,-0.9670158624649048,,
6,,,,755,,,0.9617999792098999,-0.9517531394958496
6,,,4.011740684509277,755,,,,
,0.004750000000024999,0.004750000000024999,,799,,,,
7,,,,799,0.9765625,-0.9674075841903687,,
