epoch,lr-FloraAdamDecreasingRanks/pg1,lr-FloraAdamDecreasingRanks/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.81640625,-0.7994645833969116,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.826171875,-0.8217992186546326,,
0,,,,107,,,0.8432000279426575,-0.8150671124458313
0,,,5.0679168701171875,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.890625,-0.8807701468467712,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.90234375,-0.8928189277648926,,
1,,,,215,,,0.9071999788284302,-0.8833287954330444
1,,,5.332962989807129,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.923828125,-0.9117285013198853,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.904296875,-0.8969005346298218,,
2,,,,323,,,0.9142000079154968,-0.8998450040817261
2,,,5.098305702209473,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.912109375,-0.9038963913917542,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.908203125,-0.8952947854995728,,
3,,,,431,,,0.9178000092506409,-0.9055215716362
3,,,5.271731376647949,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.916015625,-0.9075174927711487,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.9609375,-0.9459629654884338,,
4,,,,539,,,0.9156000018119812,-0.9057049751281738
4,,,5.2156853675842285,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.921875,-0.9148879051208496,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.916015625,-0.906052827835083,,
5,,,,647,,,0.9186000227928162,-0.9084668159484863
5,,,5.0800461769104,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.9375,-0.9262731075286865,,
,0.009500000000049998,0.009500000000049998,,699,,,,
6,,,,699,0.9296875,-0.9139837622642517,,
,0.009500000000049998,0.009500000000049998,,749,,,,
6,,,,749,0.931640625,-0.914190411567688,,
6,,,,755,,,0.9182000160217285,-0.9084433317184448
6,,,4.98466682434082,755,,,,
,0.009500000000049998,0.009500000000049998,,799,,,,
7,,,,799,0.9375,-0.9289504885673523,,
,0.009500000000049998,0.009500000000049998,,849,,,,
7,,,,849,0.90625,-0.8964971303939819,,
7,,,,863,,,0.9225999712944031,-0.9132797718048096
7,,,4.9979352951049805,863,,,,
,0.009500000000049998,0.009500000000049998,,899,,,,
8,,,,899,0.935546875,-0.9251207113265991,,
,0.009500000000049998,0.009500000000049998,,949,,,,
8,,,,949,0.908203125,-0.9071674346923828,,
8,,,,971,,,0.9197999835014343,-0.9127935767173767
8,,,5.319833278656006,971,,,,
,0.009500000000049998,0.009500000000049998,,999,,,,
9,,,,999,0.953125,-0.9433244466781616,,
,0.009500000000049998,0.009500000000049998,,1049,,,,
9,,,,1049,0.919921875,-0.911333441734314,,
9,,,,1079,,,0.9214000105857849,-0.9145066142082214
9,,,5.212185382843018,1079,,,,
,0.009500000000049998,0.009500000000049998,,1099,,,,
10,,,,1099,0.939453125,-0.9313482046127319,,
,0.009500000000049998,0.009500000000049998,,1149,,,,
10,,,,1149,0.908203125,-0.8943296074867249,,
10,,,,1187,,,0.909600019454956,-0.9045284390449524
10,,,5.764166831970215,1187,,,,
,0.009500000000049998,0.009500000000049998,,1199,,,,
11,,,,1199,0.9375,-0.9240326881408691,,
,0.009500000000049998,0.009500000000049998,,1249,,,,
11,,,,1249,0.8671875,-0.8594786524772644,,
11,,,,1295,,,0.901199996471405,-0.8909777402877808
11,,,5.433888912200928,1295,,,,
,0.009500000000049998,0.009500000000049998,,1299,,,,
12,,,,1299,0.91796875,-0.9092848300933838,,
,0.009500000000049998,0.009500000000049998,,1349,,,,
12,,,,1349,0.896484375,-0.888895571231842,,
,0.009500000000049998,0.009500000000049998,,1399,,,,
12,,,,1399,0.90234375,-0.8962247371673584,,
12,,,,1403,,,0.8948000073432922,-0.8835666179656982
12,,,6.588490962982178,1403,,,,
,0.009500000000049998,0.009500000000049998,,1449,,,,
13,,,,1449,0.8828125,-0.876668393611908,,
,0.009500000000049998,0.009500000000049998,,1499,,,,
13,,,,1499,0.900390625,-0.8902116417884827,,
13,,,,1511,,,0.8812000155448914,-0.870812177658081
13,,,5.328962802886963,1511,,,,
,0.009500000000049998,0.009500000000049998,,1549,,,,
14,,,,1549,0.912109375,-0.8999050259590149,,
,0.009500000000049998,0.009500000000049998,,1599,,,,
14,,,,1599,0.8984375,-0.886347234249115,,
14,,,,1619,,,0.8614000082015991,-0.8475093841552734
14,,,5.33305549621582,1619,,,,
,0.009500000000049998,0.009500000000049998,,1649,,,,
15,,,,1649,0.900390625,-0.8920252323150635,,
,0.009500000000049998,0.009500000000049998,,1699,,,,
15,,,,1699,0.90234375,-0.8929196000099182,,
15,,,,1727,,,0.8435999751091003,-0.8255808353424072
15,,,9.867648124694824,1727,,,,
,0.009500000000049998,0.009500000000049998,,1749,,,,
16,,,,1749,0.896484375,-0.8853810429573059,,
,0.009500000000049998,0.009500000000049998,,1799,,,,
16,,,,1799,0.908203125,-0.9030168652534485,,
16,,,,1835,,,0.7842000126838684,-0.758234977722168
16,,,5.359203815460205,1835,,,,
,0.009500000000049998,0.009500000000049998,,1849,,,,
17,,,,1849,0.814453125,-0.7868509292602539,,
,0.009500000000049998,0.009500000000049998,,1899,,,,
17,,,,1899,0.828125,-0.817058801651001,,
17,,,,1943,,,0.8565999865531921,-0.8435503840446472
17,,,5.289555549621582,1943,,,,
,0.009500000000049998,0.009500000000049998,,1949,,,,
18,,,,1949,0.861328125,-0.851158857345581,,
,0.009500000000049998,0.009500000000049998,,1999,,,,
18,,,,1999,0.880859375,-0.872683048248291,,
18,,,5.569518089294434,1999,,,,
