epoch,lr-CustomAdam/pg1,lr-CustomAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.01,0.01,,49,,,,
0,,,,49,0.78515625,-0.776645839214325,,
,0.01,0.01,,99,,,,
0,,,,99,0.765625,-0.7571055293083191,,
0,,,,107,,,0.7803999781608582,-0.7733859419822693
0,,,4.843743324279785,107,,,,
,0.01,0.01,,149,,,,
1,,,,149,0.732421875,-0.726144552230835,,
,0.01,0.01,,199,,,,
1,,,,199,0.783203125,-0.7750353217124939,,
1,,,,215,,,0.7857999801635742,-0.7806186079978943
1,,,5.617992877960205,215,,,,
,0.01,0.01,,249,,,,
2,,,,249,0.77734375,-0.7729312181472778,,
,0.01,0.01,,299,,,,
2,,,,299,0.8125,-0.8084871172904968,,
2,,,,323,,,0.7861999869346619,-0.7837280631065369
2,,,4.449652194976807,323,,,,
,0.01,0.01,,349,,,,
3,,,,349,0.79296875,-0.7893770933151245,,
,0.01,0.01,,399,,,,
3,,,,399,0.763671875,-0.760543704032898,,
3,,,,431,,,0.7928000092506409,-0.7883555889129639
3,,,5.015633583068848,431,,,,
,0.01,0.01,,449,,,,
4,,,,449,0.822265625,-0.8171960115432739,,
,0.01,0.01,,499,,,,
4,,,,499,0.857421875,-0.8514687418937683,,
4,,,,539,,,0.8709999918937683,-0.8648488521575928
4,,,6.580982685089111,539,,,,
,0.01,0.01,,549,,,,
5,,,,549,0.888671875,-0.8852684497833252,,
,0.01,0.01,,599,,,,
5,,,,599,0.8828125,-0.8769473433494568,,
5,,,,647,,,0.8723999857902527,-0.8678468465805054
5,,,5.999297142028809,647,,,,
,0.01,0.01,,649,,,,
6,,,,649,0.892578125,-0.8882845640182495,,
,0.01,0.01,,699,,,,
6,,,,699,0.890625,-0.8850530982017517,,
,0.01,0.01,,749,,,,
6,,,,749,0.89453125,-0.8882943987846375,,
6,,,,755,,,0.8754000067710876,-0.8717851638793945
6,,,4.754739284515381,755,,,,
,0.01,0.01,,799,,,,
7,,,,799,0.884765625,-0.8823667764663696,,
,0.01,0.01,,849,,,,
7,,,,849,0.865234375,-0.86330646276474,,
7,,,,863,,,0.8769999742507935,-0.8742267489433289
7,,,6.466793060302734,863,,,,
,0.01,0.01,,899,,,,
8,,,,899,0.88671875,-0.876711368560791,,
,0.01,0.01,,949,,,,
8,,,,949,0.9609375,-0.9526515007019043,,
8,,,,971,,,0.9593999981880188,-0.9533997774124146
8,,,4.961156368255615,971,,,,
,0.01,0.01,,999,,,,
9,,,,999,0.98046875,-0.9711859822273254,,
,0.01,0.01,,1049,,,,
9,,,,1049,0.966796875,-0.9651230573654175,,
9,,,,1079,,,0.9624000191688538,-0.9587346911430359
9,,,6.426172733306885,1079,,,,
,0.01,0.01,,1099,,,,
10,,,,1099,0.978515625,-0.9739834666252136,,
,0.01,0.01,,1149,,,,
10,,,,1149,0.970703125,-0.9651979207992554,,
10,,,,1187,,,0.9642000198364258,-0.9605255722999573
10,,,5.9144158363342285,1187,,,,
,0.01,0.01,,1199,,,,
11,,,,1199,0.978515625,-0.973778247833252,,
,0.01,0.01,,1249,,,,
11,,,,1249,0.984375,-0.9767419695854187,,
11,,,,1295,,,0.9682000279426575,-0.9645171165466309
11,,,7.840803146362305,1295,,,,
,0.01,0.01,,1299,,,,
12,,,,1299,0.98046875,-0.9763350486755371,,
,0.01,0.01,,1349,,,,
12,,,,1349,0.98046875,-0.9760170578956604,,
,0.01,0.01,,1399,,,,
12,,,,1399,0.978515625,-0.9702283143997192,,
12,,,,1403,,,0.9656000137329102,-0.9620453119277954
12,,,6.455262184143066,1403,,,,
,0.01,0.01,,1449,,,,
13,,,,1449,0.982421875,-0.9774667024612427,,
,0.01,0.01,,1499,,,,
13,,,,1499,0.982421875,-0.9782644510269165,,
13,,,,1511,,,0.9715999960899353,-0.966499924659729
13,,,6.653185844421387,1511,,,,
,0.01,0.01,,1549,,,,
14,,,,1549,0.986328125,-0.982342541217804,,
,0.01,0.01,,1599,,,,
14,,,,1599,0.984375,-0.9808832406997681,,
14,,,,1619,,,0.9693999886512756,-0.9642932415008545
14,,,6.9920806884765625,1619,,,,
,0.01,0.01,,1649,,,,
15,,,,1649,0.978515625,-0.9746137261390686,,
,0.01,0.01,,1699,,,,
15,,,,1699,0.98828125,-0.9847824573516846,,
15,,,,1727,,,0.9685999751091003,-0.965857982635498
15,,,4.265024185180664,1727,,,,
,0.01,0.01,,1749,,,,
16,,,,1749,0.978515625,-0.9771477580070496,,
,0.01,0.01,,1799,,,,
16,,,,1799,0.986328125,-0.9802706837654114,,
16,,,,1835,,,0.9700000286102295,-0.9671154022216797
16,,,5.074588298797607,1835,,,,
,0.01,0.01,,1849,,,,
17,,,,1849,0.986328125,-0.9827808141708374,,
,0.01,0.01,,1899,,,,
17,,,,1899,0.982421875,-0.9800753593444824,,
17,,,,1943,,,0.9703999757766724,-0.9678186774253845
17,,,4.977163314819336,1943,,,,
,0.01,0.01,,1949,,,,
18,,,,1949,0.978515625,-0.9761486053466797,,
,0.01,0.01,,1999,,,,
18,,,,1999,0.990234375,-0.9857141375541687,,
18,,,4.521153450012207,1999,,,,
