epoch,lr-CustomAdam/pg1,lr-CustomAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.0001,0.0001,,49,,,,
0,,,,49,0.2578125,-0.19221989810466766,,
,0.0001,0.0001,,99,,,,
0,,,,99,0.349609375,-0.2704112231731415,,
0,,,,107,,,0.4205999970436096,-0.32810062170028687
0,,,7.598380088806152,107,,,,
,0.0001,0.0001,,149,,,,
1,,,,149,0.54296875,-0.41241511702537537,,
,0.0001,0.0001,,199,,,,
1,,,,199,0.5859375,-0.48470404744148254,,
1,,,,215,,,0.6129999756813049,-0.49049800634384155
1,,,5.3647379875183105,215,,,,
,0.0001,0.0001,,249,,,,
2,,,,249,0.62109375,-0.5118035078048706,,
,0.0001,0.0001,,299,,,,
2,,,,299,0.650390625,-0.5588822960853577,,
2,,,,323,,,0.65420001745224,-0.5740043520927429
2,,,9.278274536132812,323,,,,
,0.0001,0.0001,,349,,,,
3,,,,349,0.654296875,-0.5793756246566772,,
,0.0001,0.0001,,399,,,,
3,,,,399,0.6875,-0.6298983693122864,,
3,,,,431,,,0.6650000214576721,-0.6092934012413025
3,,,6.684289932250977,431,,,,
,0.0001,0.0001,,449,,,,
4,,,,449,0.634765625,-0.5867164134979248,,
,0.0001,0.0001,,499,,,,
4,,,,499,0.669921875,-0.6257123351097107,,
4,,,,539,,,0.7376000285148621,-0.6555245518684387
4,,,5.160337448120117,539,,,,
,0.0001,0.0001,,549,,,,
5,,,,549,0.724609375,-0.6573446393013,,
,0.0001,0.0001,,599,,,,
5,,,,599,0.748046875,-0.6848511099815369,,
5,,,,647,,,0.7526000142097473,-0.6942091584205627
5,,,8.26244068145752,647,,,,
,0.0001,0.0001,,649,,,,
6,,,,649,0.75390625,-0.696526288986206,,
,0.0001,0.0001,,699,,,,
6,,,,699,0.744140625,-0.6929017901420593,,
,0.0001,0.0001,,749,,,,
6,,,,749,0.822265625,-0.7508602142333984,,
6,,,,755,,,0.8198000192642212,-0.7448285818099976
6,,,5.4229326248168945,755,,,,
,0.0001,0.0001,,799,,,,
7,,,,799,0.833984375,-0.7664125561714172,,
,0.0001,0.0001,,849,,,,
7,,,,849,0.833984375,-0.7734963893890381,,
7,,,,863,,,0.8317999839782715,-0.7752554416656494
7,,,4.848594665527344,863,,,,
,0.0001,0.0001,,899,,,,
8,,,,899,0.830078125,-0.7829703092575073,,
,0.0001,0.0001,,949,,,,
8,,,,949,0.837890625,-0.7902456521987915,,
8,,,,971,,,0.8367999792098999,-0.7905066609382629
8,,,5.712945938110352,971,,,,
,0.0001,0.0001,,999,,,,
9,,,,999,0.84765625,-0.8065229058265686,,
,0.0001,0.0001,,1049,,,,
9,,,,1049,0.80859375,-0.7825161814689636,,
9,,,,1079,,,0.8407999873161316,-0.8000432848930359
9,,,6.53099250793457,1079,,,,
,0.0001,0.0001,,1099,,,,
10,,,,1099,0.8203125,-0.7836294770240784,,
,0.0001,0.0001,,1149,,,,
10,,,,1149,0.85546875,-0.8153306841850281,,
10,,,,1187,,,0.8428000211715698,-0.8076872229576111
10,,,5.424778461456299,1187,,,,
,0.0001,0.0001,,1199,,,,
11,,,,1199,0.82421875,-0.7944744825363159,,
,0.0001,0.0001,,1249,,,,
11,,,,1249,0.8671875,-0.8321416974067688,,
11,,,,1295,,,0.8443999886512756,-0.8130983114242554
11,,,6.55632209777832,1295,,,,
,0.0001,0.0001,,1299,,,,
12,,,,1299,0.83984375,-0.8075495958328247,,
,0.0001,0.0001,,1349,,,,
12,,,,1349,0.837890625,-0.8053349256515503,,
,0.0001,0.0001,,1399,,,,
12,,,,1399,0.83984375,-0.8029018044471741,,
12,,,,1403,,,0.8461999893188477,-0.8177571296691895
12,,,4.504925727844238,1403,,,,
,0.0001,0.0001,,1449,,,,
13,,,,1449,0.837890625,-0.8120211958885193,,
,0.0001,0.0001,,1499,,,,
13,,,,1499,0.83984375,-0.8134382367134094,,
13,,,,1511,,,0.8471999764442444,-0.8217283487319946
13,,,9.464019775390625,1511,,,,
,0.0001,0.0001,,1549,,,,
14,,,,1549,0.822265625,-0.8072590827941895,,
,0.0001,0.0001,,1599,,,,
14,,,,1599,0.8515625,-0.8322617411613464,,
14,,,,1619,,,0.8492000102996826,-0.8249458074569702
14,,,4.298852920532227,1619,,,,
,0.0001,0.0001,,1649,,,,
15,,,,1649,0.83984375,-0.8245450854301453,,
,0.0001,0.0001,,1699,,,,
15,,,,1699,0.8515625,-0.8202557563781738,,
15,,,,1727,,,0.8510000109672546,-0.8278736472129822
15,,,4.322732925415039,1727,,,,
,0.0001,0.0001,,1749,,,,
16,,,,1749,0.8515625,-0.8229432702064514,,
,0.0001,0.0001,,1799,,,,
16,,,,1799,0.869140625,-0.8419226408004761,,
16,,,,1835,,,0.8529999852180481,-0.8304738402366638
16,,,4.90573263168335,1835,,,,
,0.0001,0.0001,,1849,,,,
17,,,,1849,0.857421875,-0.8345629572868347,,
,0.0001,0.0001,,1899,,,,
17,,,,1899,0.853515625,-0.8337646126747131,,
17,,,,1943,,,0.8539999723434448,-0.8327269554138184
17,,,7.455559253692627,1943,,,,
,0.0001,0.0001,,1949,,,,
18,,,,1949,0.84765625,-0.8360870480537415,,
,0.0001,0.0001,,1999,,,,
18,,,,1999,0.873046875,-0.8601210117340088,,
18,,,7.451444625854492,1999,,,,
