epoch,lr-CustomAdam/pg1,lr-CustomAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.01,0.01,,49,,,,
0,,,,49,0.8359375,-0.8159949779510498,,
,0.01,0.01,,99,,,,
0,,,,99,0.91796875,-0.9064180254936218,,
0,,,,107,,,0.9350000023841858,-0.9233375787734985
0,,,6.4495849609375,107,,,,
,0.01,0.01,,149,,,,
1,,,,149,0.951171875,-0.9385440349578857,,
,0.01,0.01,,199,,,,
1,,,,199,0.943359375,-0.9360865950584412,,
1,,,,215,,,0.9524000287055969,-0.9456557631492615
1,,,7.857313632965088,215,,,,
,0.01,0.01,,249,,,,
2,,,,249,0.951171875,-0.9434875845909119,,
,0.01,0.01,,299,,,,
2,,,,299,0.98046875,-0.9697936773300171,,
2,,,,323,,,0.9577999711036682,-0.9517737030982971
2,,,4.758133411407471,323,,,,
,0.01,0.01,,349,,,,
3,,,,349,0.96875,-0.9587889909744263,,
,0.01,0.01,,399,,,,
3,,,,399,0.98046875,-0.9733127951622009,,
3,,,,431,,,0.9629999995231628,-0.9570705890655518
3,,,5.527072906494141,431,,,,
,0.01,0.01,,449,,,,
4,,,,449,0.974609375,-0.9700366258621216,,
,0.01,0.01,,499,,,,
4,,,,499,0.962890625,-0.9583349823951721,,
4,,,,539,,,0.9643999934196472,-0.9565752148628235
4,,,4.2244791984558105,539,,,,
,0.01,0.01,,549,,,,
5,,,,549,0.962890625,-0.956353485584259,,
,0.01,0.01,,599,,,,
5,,,,599,0.9765625,-0.9724472165107727,,
5,,,,647,,,0.9679999947547913,-0.962718665599823
5,,,6.23527193069458,647,,,,
,0.01,0.01,,649,,,,
6,,,,649,0.98828125,-0.9848465323448181,,
,0.01,0.01,,699,,,,
6,,,,699,0.96875,-0.9643478393554688,,
,0.01,0.01,,749,,,,
6,,,,749,0.978515625,-0.9728670120239258,,
6,,,,755,,,0.9652000069618225,-0.9626976847648621
6,,,5.825436115264893,755,,,,
,0.01,0.01,,799,,,,
7,,,,799,0.9765625,-0.9725034832954407,,
,0.01,0.01,,849,,,,
7,,,,849,0.9765625,-0.9708148837089539,,
7,,,,863,,,0.9682000279426575,-0.9618164300918579
7,,,5.911418437957764,863,,,,
,0.01,0.01,,899,,,,
8,,,,899,0.9765625,-0.9712113738059998,,
,0.01,0.01,,949,,,,
8,,,,949,0.982421875,-0.9789661169052124,,
8,,,,971,,,0.9702000021934509,-0.9650076031684875
8,,,7.536439418792725,971,,,,
,0.01,0.01,,999,,,,
9,,,,999,0.986328125,-0.9837289452552795,,
,0.01,0.01,,1049,,,,
9,,,,1049,0.986328125,-0.9799395799636841,,
9,,,,1079,,,0.968999981880188,-0.9652385711669922
9,,,5.801217555999756,1079,,,,
,0.01,0.01,,1099,,,,
10,,,,1099,0.990234375,-0.9836152195930481,,
,0.01,0.01,,1149,,,,
10,,,,1149,0.982421875,-0.9802066087722778,,
10,,,,1187,,,0.9667999744415283,-0.9641988277435303
10,,,6.431527137756348,1187,,,,
,0.01,0.01,,1199,,,,
11,,,,1199,0.984375,-0.9804884195327759,,
,0.01,0.01,,1249,,,,
11,,,,1249,0.982421875,-0.9779832363128662,,
11,,,,1295,,,0.9696000218391418,-0.9665958285331726
11,,,6.373188018798828,1295,,,,
,0.01,0.01,,1299,,,,
12,,,,1299,0.984375,-0.981534481048584,,
,0.01,0.01,,1349,,,,
12,,,,1349,0.982421875,-0.982712984085083,,
,0.01,0.01,,1399,,,,
12,,,,1399,0.9765625,-0.9730911254882812,,
12,,,,1403,,,0.9702000021934509,-0.9664702415466309
12,,,5.095565319061279,1403,,,,
,0.01,0.01,,1449,,,,
13,,,,1449,0.982421875,-0.9792119860649109,,
,0.01,0.01,,1499,,,,
13,,,,1499,0.974609375,-0.9709459543228149,,
13,,,,1511,,,0.974399983882904,-0.9691630005836487
13,,,5.926551818847656,1511,,,,
,0.01,0.01,,1549,,,,
14,,,,1549,0.986328125,-0.9830474853515625,,
,0.01,0.01,,1599,,,,
14,,,,1599,0.984375,-0.9817231297492981,,
14,,,,1619,,,0.9729999899864197,-0.9696128964424133
14,,,6.0359907150268555,1619,,,,
,0.01,0.01,,1649,,,,
15,,,,1649,0.9765625,-0.9724048972129822,,
,0.01,0.01,,1699,,,,
15,,,,1699,0.970703125,-0.9652730226516724,,
15,,,,1727,,,0.9710000157356262,-0.9663357138633728
15,,,7.105403900146484,1727,,,,
,0.01,0.01,,1749,,,,
16,,,,1749,0.986328125,-0.9797759056091309,,
,0.01,0.01,,1799,,,,
16,,,,1799,0.984375,-0.9802473187446594,,
16,,,,1835,,,0.9700000286102295,-0.9669623970985413
16,,,4.758545875549316,1835,,,,
,0.01,0.01,,1849,,,,
17,,,,1849,0.98046875,-0.9782874584197998,,
,0.01,0.01,,1899,,,,
17,,,,1899,0.990234375,-0.986153244972229,,
17,,,,1943,,,0.972599983215332,-0.9682684540748596
17,,,7.8441290855407715,1943,,,,
,0.01,0.01,,1949,,,,
18,,,,1949,0.982421875,-0.9781687259674072,,
,0.01,0.01,,1999,,,,
18,,,,1999,0.9765625,-0.9768736362457275,,
18,,,8.558646202087402,1999,,,,
