epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.69140625,-0.6900750994682312,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.748046875,-0.7422463893890381,,
0,,,,107,,,0.7748000025749207,-0.766449511051178
0,,,4.463557243347168,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.73828125,-0.7298074960708618,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.779296875,-0.7717506885528564,,
1,,,,215,,,0.7838000059127808,-0.77740877866745
1,,,6.34529447555542,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.7734375,-0.7693520784378052,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.80859375,-0.8047900795936584,,
2,,,,323,,,0.7883999943733215,-0.78287672996521
2,,,4.895997524261475,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.78515625,-0.7858603000640869,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.765625,-0.7622676491737366,,
3,,,,431,,,0.7946000099182129,-0.7891054749488831
3,,,6.611001491546631,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.8203125,-0.816355288028717,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.775390625,-0.7713003158569336,,
4,,,,539,,,0.79339998960495,-0.7897467017173767
4,,,5.834580898284912,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.8203125,-0.8175428509712219,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.798828125,-0.7960768938064575,,
5,,,,647,,,0.8737999796867371,-0.8633264899253845
5,,,6.618786334991455,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.8984375,-0.8882594108581543,,
