epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.019000000000099996,0.019000000000099996,,49,,,,
0,,,,49,0.84375,-0.832450270652771,,
,0.019000000000099996,0.019000000000099996,,99,,,,
0,,,,99,0.86328125,-0.8575080037117004,,
0,,,,107,,,0.8629999756813049,-0.8530247211456299
0,,,6.3904924392700195,107,,,,
,0.019000000000099996,0.019000000000099996,,149,,,,
1,,,,149,0.87890625,-0.8728922009468079,,
,0.019000000000099996,0.019000000000099996,,199,,,,
1,,,,199,0.841796875,-0.833935022354126,,
1,,,,215,,,0.8697999715805054,-0.8629570603370667
1,,,4.760707378387451,215,,,,
,0.019000000000099996,0.019000000000099996,,249,,,,
2,,,,249,0.875,-0.8702413439750671,,
,0.019000000000099996,0.019000000000099996,,299,,,,
2,,,,299,0.865234375,-0.8610946536064148,,
2,,,,323,,,0.870199978351593,-0.8664003014564514
2,,,5.632038593292236,323,,,,
,0.019000000000099996,0.019000000000099996,,349,,,,
3,,,,349,0.88671875,-0.8806384801864624,,
,0.019000000000099996,0.019000000000099996,,399,,,,
3,,,,399,0.8671875,-0.863867461681366,,
3,,,,431,,,0.8722000122070312,-0.8680983185768127
3,,,7.522015571594238,431,,,,
,0.019000000000099996,0.019000000000099996,,449,,,,
4,,,,449,0.890625,-0.8848199844360352,,
,0.019000000000099996,0.019000000000099996,,499,,,,
4,,,,499,0.876953125,-0.8690897226333618,,
4,,,,539,,,0.8694000244140625,-0.8644678592681885
4,,,5.404394626617432,539,,,,
,0.019000000000099996,0.019000000000099996,,549,,,,
5,,,,549,0.88671875,-0.8830026388168335,,
,0.019000000000099996,0.019000000000099996,,599,,,,
5,,,,599,0.873046875,-0.8697968125343323,,
5,,,,647,,,0.9301999807357788,-0.9214085936546326
5,,,5.270895004272461,647,,,,
,0.019000000000099996,0.019000000000099996,,649,,,,
6,,,,649,0.953125,-0.9413480758666992,,
,0.019000000000099996,0.019000000000099996,,699,,,,
6,,,,699,0.958984375,-0.9517163038253784,,
,0.019000000000099996,0.019000000000099996,,749,,,,
6,,,,749,0.93359375,-0.9236634969711304,,
6,,,,755,,,0.946399986743927,-0.9398729205131531
6,,,5.29621696472168,755,,,,
,0.019000000000099996,0.019000000000099996,,799,,,,
7,,,,799,0.9453125,-0.9399102330207825,,
,0.019000000000099996,0.019000000000099996,,849,,,,
7,,,,849,0.962890625,-0.9588638544082642,,
7,,,,863,,,0.951200008392334,-0.9467132091522217
7,,,5.498265266418457,863,,,,
,0.019000000000099996,0.019000000000099996,,899,,,,
8,,,,899,0.974609375,-0.9731501340866089,,
,0.019000000000099996,0.019000000000099996,,949,,,,
8,,,,949,0.962890625,-0.9602113366127014,,
8,,,,971,,,0.9552000164985657,-0.95049649477005
8,,,8.570954322814941,971,,,,
,0.019000000000099996,0.019000000000099996,,999,,,,
9,,,,999,0.96484375,-0.960469663143158,,
,0.019000000000099996,0.019000000000099996,,1049,,,,
9,,,,1049,0.9765625,-0.9692085981369019,,
9,,,,1079,,,0.954800009727478,-0.9507880806922913
9,,,4.445248126983643,1079,,,,
,0.019000000000099996,0.019000000000099996,,1099,,,,
10,,,,1099,0.95703125,-0.954361617565155,,
,0.019000000000099996,0.019000000000099996,,1149,,,,
10,,,,1149,0.953125,-0.9509039521217346,,
10,,,,1187,,,0.9516000151634216,-0.9466236233711243
10,,,7.866003513336182,1187,,,,
,0.019000000000099996,0.019000000000099996,,1199,,,,
11,,,,1199,0.974609375,-0.9700334668159485,,
