epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.7421875,-0.7373717427253723,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.720703125,-0.7108403444290161,,
0,,,,107,,,0.7775999903678894,-0.771445631980896
0,,,4.557260990142822,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.7890625,-0.7839000821113586,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.86328125,-0.8583564162254333,,
1,,,,215,,,0.8679999709129333,-0.859569251537323
1,,,4.5861945152282715,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.861328125,-0.8523472547531128,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.900390625,-0.8925210237503052,,
2,,,,323,,,0.8737999796867371,-0.8690078258514404
2,,,4.304545879364014,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.84375,-0.8414477109909058,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.892578125,-0.8882954120635986,,
3,,,,431,,,0.8781999945640564,-0.8732805848121643
3,,,5.204238414764404,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.884765625,-0.8800114393234253,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.86328125,-0.8591285943984985,,
4,,,,539,,,0.8769999742507935,-0.8715991973876953
4,,,6.924763202667236,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.873046875,-0.8680376410484314,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.90625,-0.9015424847602844,,
5,,,,647,,,0.9535999894142151,-0.9480851292610168
5,,,7.351957321166992,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.98046875,-0.9704049825668335,,
,0.009500000000049998,0.009500000000049998,,699,,,,
6,,,,699,0.96484375,-0.9580216407775879,,
,0.009500000000049998,0.009500000000049998,,749,,,,
6,,,,749,0.970703125,-0.966059148311615,,
6,,,,755,,,0.9642000198364258,-0.9576576352119446
6,,,7.74194860458374,755,,,,
,0.009500000000049998,0.009500000000049998,,799,,,,
7,,,,799,0.9765625,-0.9692865610122681,,
,0.009500000000049998,0.009500000000049998,,849,,,,
7,,,,849,0.962890625,-0.9589613080024719,,
7,,,,863,,,0.9656000137329102,-0.9596072435379028
7,,,7.06538200378418,863,,,,
