epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.69140625,-0.5779787302017212,,
,0.001,0.001,,99,,,,
0,,,,99,0.73046875,-0.676025390625,,
0,,,,107,,,0.7202000021934509,-0.6736785769462585
0,,,7.305417060852051,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.7109375,-0.6823440194129944,,
,0.001,0.001,,199,,,,
1,,,,199,0.73828125,-0.7096474766731262,,
1,,,,215,,,0.746399998664856,-0.7170690298080444
1,,,9.780782699584961,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.720703125,-0.7052747011184692,,
,0.001,0.001,,299,,,,
2,,,,299,0.744140625,-0.7240987420082092,,
2,,,,323,,,0.7498000264167786,-0.7324731945991516
2,,,6.893345355987549,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.72265625,-0.7138820290565491,,
,0.001,0.001,,399,,,,
3,,,,399,0.73828125,-0.724164605140686,,
3,,,,431,,,0.7555999755859375,-0.7411812543869019
3,,,7.354637145996094,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.78125,-0.7697983980178833,,
,0.001,0.001,,499,,,,
4,,,,499,0.7578125,-0.7493767142295837,,
4,,,,539,,,0.7598000168800354,-0.7469249367713928
4,,,7.675702095031738,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.765625,-0.7514312863349915,,
,0.001,0.001,,599,,,,
5,,,,599,0.75,-0.7384627461433411,,
5,,,,647,,,0.7617999911308289,-0.7514551877975464
5,,,6.81696891784668,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.775390625,-0.7686306834220886,,
,0.001,0.001,,699,,,,
6,,,,699,0.765625,-0.7562465667724609,,
,0.001,0.001,,749,,,,
6,,,,749,0.765625,-0.7586121559143066,,
6,,,,755,,,0.7623999714851379,-0.7510113716125488
6,,,6.144298076629639,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.759765625,-0.7491863369941711,,
,0.001,0.001,,849,,,,
7,,,,849,0.802734375,-0.7891319394111633,,
7,,,,863,,,0.8366000056266785,-0.8140219449996948
7,,,8.228676795959473,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.912109375,-0.8687304258346558,,
,0.001,0.001,,949,,,,
8,,,,949,0.888671875,-0.8737109303474426,,
8,,,,971,,,0.9179999828338623,-0.8957102298736572
8,,,5.2499470710754395,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.9375,-0.9162757396697998,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.93359375,-0.9179812669754028,,
9,,,,1079,,,0.9240000247955322,-0.9070085883140564
9,,,6.579832077026367,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.943359375,-0.9255913496017456,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.91015625,-0.8963973522186279,,
10,,,,1187,,,0.9279999732971191,-0.9135949015617371
10,,,8.73812198638916,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.939453125,-0.9256607294082642,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.923828125,-0.9098449945449829,,
11,,,,1295,,,0.9336000084877014,-0.9176660180091858
11,,,6.8114800453186035,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.947265625,-0.930321991443634,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.939453125,-0.9263108968734741,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.9453125,-0.9254447817802429,,
12,,,,1403,,,0.9351999759674072,-0.9195491075515747
12,,,8.315714836120605,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.9296875,-0.9178914427757263,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.9375,-0.9214329719543457,,
13,,,,1511,,,0.9348000288009644,-0.9198207259178162
13,,,7.538926601409912,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.943359375,-0.9296537637710571,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.947265625,-0.9283159971237183,,
14,,,,1619,,,0.9380000233650208,-0.9240734577178955
14,,,5.355967044830322,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.939453125,-0.9297240376472473,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.955078125,-0.9402048587799072,,
15,,,,1727,,,0.9417999982833862,-0.9289803504943848
15,,,8.683794021606445,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.953125,-0.9408673644065857,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.951171875,-0.9393962621688843,,
16,,,,1835,,,0.9434000253677368,-0.9302770495414734
16,,,6.955819606781006,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.94921875,-0.9352865815162659,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.947265625,-0.9336552619934082,,
17,,,,1943,,,0.9452000260353088,-0.933355450630188
17,,,7.627868175506592,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.939453125,-0.9327142834663391,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.9453125,-0.9384793639183044,,
18,,,7.452413082122803,1999,,,,
