epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.7421875,-0.7337555885314941,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.7578125,-0.7477900385856628,,
0,,,,107,,,0.7354000210762024,-0.6920010447502136
0,,,4.807497024536133,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.744140625,-0.727749764919281,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.7578125,-0.7522025108337402,,
1,,,,215,,,0.7513999938964844,-0.7392439842224121
1,,,6.656413555145264,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.73828125,-0.735803484916687,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.751953125,-0.746198296546936,,
2,,,,323,,,0.7993999719619751,-0.7743107676506042
2,,,9.481561660766602,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.8125,-0.8000713586807251,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.80859375,-0.8030399084091187,,
3,,,,431,,,0.8317999839782715,-0.8225051760673523
3,,,10.291365623474121,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.85546875,-0.8468621969223022,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.828125,-0.8210393190383911,,
4,,,,539,,,0.8274000287055969,-0.8149394392967224
4,,,10.636460304260254,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.845703125,-0.8337430953979492,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.849609375,-0.8386538624763489,,
5,,,,647,,,0.826200008392334,-0.8173150420188904
5,,,11.812300682067871,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.849609375,-0.8341582417488098,,
,0.009500000000049998,0.009500000000049998,,699,,,,
6,,,,699,0.83984375,-0.8301863074302673,,
,0.009500000000049998,0.009500000000049998,,749,,,,
6,,,,749,0.833984375,-0.826801598072052,,
6,,,,755,,,0.8370000123977661,-0.8289794921875
6,,,7.529083728790283,755,,,,
,0.009500000000049998,0.009500000000049998,,799,,,,
7,,,,799,0.830078125,-0.8252249360084534,,
,0.009500000000049998,0.009500000000049998,,849,,,,
7,,,,849,0.822265625,-0.8054429888725281,,
7,,,,863,,,0.8338000178337097,-0.8265671730041504
7,,,6.206938743591309,863,,,,
,0.009500000000049998,0.009500000000049998,,899,,,,
8,,,,899,0.833984375,-0.8238121271133423,,
,0.009500000000049998,0.009500000000049998,,949,,,,
8,,,,949,0.822265625,-0.8158223628997803,,
8,,,,971,,,0.8410000205039978,-0.8330181837081909
8,,,5.4936957359313965,971,,,,
,0.009500000000049998,0.009500000000049998,,999,,,,
9,,,,999,0.83984375,-0.8324887752532959,,
,0.009500000000049998,0.009500000000049998,,1049,,,,
9,,,,1049,0.814453125,-0.8106628060340881,,
9,,,,1079,,,0.8374000191688538,-0.8314957022666931
9,,,8.083242416381836,1079,,,,
,0.009500000000049998,0.009500000000049998,,1099,,,,
10,,,,1099,0.861328125,-0.8545182347297668,,
,0.009500000000049998,0.009500000000049998,,1149,,,,
10,,,,1149,0.83203125,-0.8251928687095642,,
