epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.01,0.01,,49,,,,
0,,,,49,0.681640625,-0.6768380999565125,,
,0.01,0.01,,99,,,,
0,,,,99,0.666015625,-0.6625123023986816,,
0,,,,107,,,0.6819999814033508,-0.6724629998207092
0,,,10.111457824707031,107,,,,
,0.01,0.01,,149,,,,
1,,,,149,0.640625,-0.6299898624420166,,
,0.01,0.01,,199,,,,
1,,,,199,0.689453125,-0.6867116689682007,,
1,,,,215,,,0.6850000023841858,-0.674497663974762
1,,,6.716378688812256,215,,,,
,0.01,0.01,,249,,,,
2,,,,249,0.666015625,-0.6642194986343384,,
,0.01,0.01,,299,,,,
2,,,,299,0.689453125,-0.6878536939620972,,
2,,,,323,,,0.6858000159263611,-0.679755687713623
2,,,6.285915374755859,323,,,,
,0.01,0.01,,349,,,,
3,,,,349,0.677734375,-0.6728262901306152,,
,0.01,0.01,,399,,,,
3,,,,399,0.671875,-0.6694884300231934,,
3,,,,431,,,0.6873999834060669,-0.6815826892852783
3,,,6.562438488006592,431,,,,
,0.01,0.01,,449,,,,
4,,,,449,0.712890625,-0.7110440731048584,,
,0.01,0.01,,499,,,,
4,,,,499,0.75,-0.7423132658004761,,
4,,,,539,,,0.7572000026702881,-0.7485147714614868
4,,,7.294041156768799,539,,,,
,0.01,0.01,,549,,,,
5,,,,549,0.7578125,-0.7505902051925659,,
,0.01,0.01,,599,,,,
5,,,,599,0.75,-0.7463493943214417,,
5,,,,647,,,0.7594000101089478,-0.7531330585479736
5,,,5.692800998687744,647,,,,
,0.01,0.01,,649,,,,
6,,,,649,0.775390625,-0.7720623016357422,,
,0.01,0.01,,699,,,,
6,,,,699,0.830078125,-0.8140549659729004,,
,0.01,0.01,,749,,,,
6,,,,749,0.83984375,-0.8252795338630676,,
6,,,,755,,,0.8313999772071838,-0.8228559494018555
6,,,7.045804500579834,755,,,,
,0.01,0.01,,799,,,,
7,,,,799,0.845703125,-0.8360493183135986,,
,0.01,0.01,,849,,,,
7,,,,849,0.8046875,-0.7970400452613831,,
7,,,,863,,,0.8348000049591064,-0.8269767761230469
7,,,6.797210216522217,863,,,,
,0.01,0.01,,899,,,,
8,,,,899,0.83203125,-0.819411039352417,,
,0.01,0.01,,949,,,,
8,,,,949,0.806640625,-0.7990629076957703,,
8,,,,971,,,0.8396000266075134,-0.8329355716705322
8,,,6.96860933303833,971,,,,
,0.01,0.01,,999,,,,
9,,,,999,0.83984375,-0.8397516012191772,,
,0.01,0.01,,1049,,,,
9,,,,1049,0.830078125,-0.8221114873886108,,
9,,,,1079,,,0.8385999798774719,-0.8314974904060364
9,,,6.671285152435303,1079,,,,
,0.01,0.01,,1099,,,,
10,,,,1099,0.849609375,-0.8440911173820496,,
,0.01,0.01,,1149,,,,
10,,,,1149,0.80859375,-0.8088135123252869,,
10,,,,1187,,,0.8420000076293945,-0.833763837814331
10,,,7.383247375488281,1187,,,,
,0.01,0.01,,1199,,,,
11,,,,1199,0.8515625,-0.8445467948913574,,
,0.01,0.01,,1249,,,,
11,,,,1249,0.845703125,-0.8413212299346924,,
11,,,,1295,,,0.8384000062942505,-0.8315868973731995
11,,,9.021954536437988,1295,,,,
,0.01,0.01,,1299,,,,
12,,,,1299,0.857421875,-0.8536982536315918,,
,0.01,0.01,,1349,,,,
12,,,,1349,0.83984375,-0.8333428502082825,,
,0.01,0.01,,1399,,,,
12,,,,1399,0.849609375,-0.8367384076118469,,
12,,,,1403,,,0.8342000246047974,-0.8275333046913147
12,,,6.029704570770264,1403,,,,
,0.01,0.01,,1449,,,,
13,,,,1449,0.82421875,-0.8173116445541382,,
,0.01,0.01,,1499,,,,
13,,,,1499,0.81640625,-0.8147072792053223,,
13,,,,1511,,,0.8378000259399414,-0.8313893675804138
13,,,10.09862232208252,1511,,,,
,0.01,0.01,,1549,,,,
14,,,,1549,0.859375,-0.8494512438774109,,
,0.01,0.01,,1599,,,,
14,,,,1599,0.83984375,-0.8351369500160217,,
14,,,,1619,,,0.8352000117301941,-0.8291511535644531
14,,,9.346724510192871,1619,,,,
,0.01,0.01,,1649,,,,
15,,,,1649,0.841796875,-0.8335182070732117,,
,0.01,0.01,,1699,,,,
15,,,,1699,0.8671875,-0.8612622022628784,,
15,,,,1727,,,0.8374000191688538,-0.8328167796134949
15,,,8.144015312194824,1727,,,,
,0.01,0.01,,1749,,,,
16,,,,1749,0.8515625,-0.843153178691864,,
,0.01,0.01,,1799,,,,
16,,,,1799,0.837890625,-0.8279920816421509,,
16,,,,1835,,,0.8417999744415283,-0.8353815674781799
16,,,9.500255584716797,1835,,,,
,0.01,0.01,,1849,,,,
17,,,,1849,0.8359375,-0.832675039768219,,
,0.01,0.01,,1899,,,,
17,,,,1899,0.81640625,-0.8126655220985413,,
17,,,,1943,,,0.842199981212616,-0.8385810256004333
17,,,6.301808834075928,1943,,,,
,0.01,0.01,,1949,,,,
18,,,,1949,0.826171875,-0.8259760141372681,,
,0.01,0.01,,1999,,,,
18,,,,1999,0.84375,-0.8448496460914612,,
18,,,7.504940032958984,1999,,,,
