epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.83203125,-0.8237215280532837,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.845703125,-0.8323612213134766,,
0,,,,107,,,0.8312000036239624,-0.8113507032394409
0,,,6.433690071105957,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.828125,-0.8218833208084106,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.845703125,-0.8391757011413574,,
1,,,,215,,,0.8402000069618225,-0.8276119828224182
1,,,9.31247329711914,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.8515625,-0.8406752347946167,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.822265625,-0.8219913840293884,,
2,,,,323,,,0.8414000272750854,-0.8302070498466492
2,,,8.399282455444336,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.857421875,-0.8432702422142029,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.845703125,-0.8363691568374634,,
3,,,,431,,,0.8424000144004822,-0.8331320285797119
3,,,7.534907341003418,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.853515625,-0.8449636697769165,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.888671875,-0.8773481249809265,,
4,,,,539,,,0.840399980545044,-0.8324812650680542
4,,,5.302830696105957,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.83203125,-0.8251224160194397,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.833984375,-0.8259990811347961,,
5,,,,647,,,0.8446000218391418,-0.8346808552742004
5,,,8.154156684875488,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.853515625,-0.848057746887207,,
,0.009500000000049998,0.009500000000049998,,699,,,,
