epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,9.500000000050003e-05,9.500000000050003e-05,,49,,,,
0,,,,49,0.40234375,-0.14517027139663696,,
,9.500000000050003e-05,9.500000000050003e-05,,99,,,,
0,,,,99,0.453125,-0.21812349557876587,,
0,,,,107,,,0.45980000495910645,-0.22813427448272705
0,,,8.39291000366211,107,,,,
,9.500000000050003e-05,9.500000000050003e-05,,149,,,,
1,,,,149,0.51953125,-0.2919456958770752,,
,9.500000000050003e-05,9.500000000050003e-05,,199,,,,
1,,,,199,0.583984375,-0.33964014053344727,,
1,,,,215,,,0.6111999750137329,-0.37202656269073486
1,,,6.667492866516113,215,,,,
,9.500000000050003e-05,9.500000000050003e-05,,249,,,,
2,,,,249,0.64453125,-0.41927632689476013,,
,9.500000000050003e-05,9.500000000050003e-05,,299,,,,
2,,,,299,0.65625,-0.45323115587234497,,
2,,,,323,,,0.675599992275238,-0.4806782305240631
2,,,7.634144306182861,323,,,,
,9.500000000050003e-05,9.500000000050003e-05,,349,,,,
3,,,,349,0.69921875,-0.49186408519744873,,
,9.500000000050003e-05,9.500000000050003e-05,,399,,,,
3,,,,399,0.701171875,-0.5281393527984619,,
3,,,,431,,,0.7063999772071838,-0.5498774647712708
3,,,9.637594223022461,431,,,,
,9.500000000050003e-05,9.500000000050003e-05,,449,,,,
4,,,,449,0.73046875,-0.5697556138038635,,
,9.500000000050003e-05,9.500000000050003e-05,,499,,,,
4,,,,499,0.724609375,-0.5753335952758789,,
4,,,,539,,,0.7203999757766724,-0.5979692339897156
4,,,7.604056358337402,539,,,,
,9.500000000050003e-05,9.500000000050003e-05,,549,,,,
5,,,,549,0.720703125,-0.5943167805671692,,
,9.500000000050003e-05,9.500000000050003e-05,,599,,,,
5,,,,599,0.72265625,-0.6122986078262329,,
5,,,,647,,,0.730400025844574,-0.6313157677650452
5,,,10.131708145141602,647,,,,
,9.500000000050003e-05,9.500000000050003e-05,,649,,,,
6,,,,649,0.73828125,-0.6318250298500061,,
,9.500000000050003e-05,9.500000000050003e-05,,699,,,,
6,,,,699,0.75390625,-0.6597508192062378,,
,9.500000000050003e-05,9.500000000050003e-05,,749,,,,
6,,,,749,0.71875,-0.6246374845504761,,
6,,,,755,,,0.7373999953269958,-0.6556978225708008
6,,,5.548002243041992,755,,,,
,9.500000000050003e-05,9.500000000050003e-05,,799,,,,
7,,,,799,0.7109375,-0.6349787712097168,,
,9.500000000050003e-05,9.500000000050003e-05,,849,,,,
7,,,,849,0.7578125,-0.6674932241439819,,
7,,,,863,,,0.741599977016449,-0.6734175086021423
7,,,7.532130241394043,863,,,,
,9.500000000050003e-05,9.500000000050003e-05,,899,,,,
8,,,,899,0.71875,-0.6535546779632568,,
,9.500000000050003e-05,9.500000000050003e-05,,949,,,,
8,,,,949,0.751953125,-0.6788257360458374,,
8,,,,971,,,0.7445999979972839,-0.6868554949760437
8,,,9.778292655944824,971,,,,
,9.500000000050003e-05,9.500000000050003e-05,,999,,,,
9,,,,999,0.75,-0.6872973442077637,,
,9.500000000050003e-05,9.500000000050003e-05,,1049,,,,
9,,,,1049,0.744140625,-0.6805620789527893,,
9,,,,1079,,,0.7498000264167786,-0.6977235078811646
9,,,7.381512641906738,1079,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1099,,,,
10,,,,1099,0.767578125,-0.7179533839225769,,
,9.500000000050003e-05,9.500000000050003e-05,,1149,,,,
10,,,,1149,0.732421875,-0.6876774430274963,,
10,,,,1187,,,0.7526000142097473,-0.7066031098365784
10,,,8.048338890075684,1187,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1199,,,,
11,,,,1199,0.759765625,-0.7068644165992737,,
,9.500000000050003e-05,9.500000000050003e-05,,1249,,,,
11,,,,1249,0.751953125,-0.7092785835266113,,
11,,,,1295,,,0.7552000284194946,-0.7133888006210327
11,,,7.4686055183410645,1295,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1299,,,,
12,,,,1299,0.763671875,-0.714783251285553,,
,9.500000000050003e-05,9.500000000050003e-05,,1349,,,,
12,,,,1349,0.7421875,-0.703140377998352,,
,9.500000000050003e-05,9.500000000050003e-05,,1399,,,,
12,,,,1399,0.712890625,-0.6744137406349182,,
12,,,,1403,,,0.7567999958992004,-0.7194615006446838
12,,,5.94586181640625,1403,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1449,,,,
13,,,,1449,0.755859375,-0.7262845635414124,,
,9.500000000050003e-05,9.500000000050003e-05,,1499,,,,
13,,,,1499,0.771484375,-0.7340301275253296,,
13,,,,1511,,,0.7572000026702881,-0.7246922850608826
13,,,8.27570915222168,1511,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1549,,,,
14,,,,1549,0.75390625,-0.7171655893325806,,
,9.500000000050003e-05,9.500000000050003e-05,,1599,,,,
14,,,,1599,0.77734375,-0.7469992637634277,,
14,,,,1619,,,0.7591999769210815,-0.7292133569717407
14,,,7.7262983322143555,1619,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1649,,,,
15,,,,1649,0.75390625,-0.7196856737136841,,
,9.500000000050003e-05,9.500000000050003e-05,,1699,,,,
15,,,,1699,0.76171875,-0.7376565933227539,,
15,,,,1727,,,0.7609999775886536,-0.7330803275108337
15,,,11.204161643981934,1727,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1749,,,,
16,,,,1749,0.79296875,-0.760180652141571,,
,9.500000000050003e-05,9.500000000050003e-05,,1799,,,,
16,,,,1799,0.8125,-0.7834222912788391,,
16,,,,1835,,,0.7634000182151794,-0.7362167239189148
16,,,7.682600975036621,1835,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1849,,,,
17,,,,1849,0.744140625,-0.7225470542907715,,
,9.500000000050003e-05,9.500000000050003e-05,,1899,,,,
17,,,,1899,0.72265625,-0.7025942802429199,,
17,,,,1943,,,0.7644000053405762,-0.7391118407249451
17,,,7.636688709259033,1943,,,,
,9.500000000050003e-05,9.500000000050003e-05,,1949,,,,
18,,,,1949,0.79296875,-0.7711936235427856,,
,9.500000000050003e-05,9.500000000050003e-05,,1999,,,,
18,,,,1999,0.76953125,-0.7493677139282227,,
18,,,8.653182983398438,1999,,,,
