epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.0001,0.0001,,49,,,,
0,,,,49,0.365234375,-0.16022895276546478,,
,0.0001,0.0001,,99,,,,
0,,,,99,0.419921875,-0.23805978894233704,,
0,,,,107,,,0.4323999881744385,-0.250071257352829
0,,,8.298223495483398,107,,,,
,0.0001,0.0001,,149,,,,
1,,,,149,0.53515625,-0.3275650143623352,,
,0.0001,0.0001,,199,,,,
1,,,,199,0.564453125,-0.36174026131629944,,
1,,,,215,,,0.6132000088691711,-0.4051276445388794
1,,,8.083480834960938,215,,,,
,0.0001,0.0001,,249,,,,
2,,,,249,0.650390625,-0.46068188548088074,,
,0.0001,0.0001,,299,,,,
2,,,,299,0.64453125,-0.4866890013217926,,
2,,,,323,,,0.6496000289916992,-0.5075024962425232
2,,,8.202054977416992,323,,,,
,0.0001,0.0001,,349,,,,
3,,,,349,0.65625,-0.5221110582351685,,
,0.0001,0.0001,,399,,,,
3,,,,399,0.6796875,-0.5556344389915466,,
3,,,,431,,,0.6687999963760376,-0.5663623213768005
3,,,7.125593185424805,431,,,,
,0.0001,0.0001,,449,,,,
4,,,,449,0.6953125,-0.5869620442390442,,
,0.0001,0.0001,,499,,,,
4,,,,499,0.705078125,-0.5897101163864136,,
4,,,,539,,,0.7193999886512756,-0.6132405996322632
4,,,4.535037517547607,539,,,,
,0.0001,0.0001,,549,,,,
5,,,,549,0.724609375,-0.6106731295585632,,
,0.0001,0.0001,,599,,,,
5,,,,599,0.703125,-0.6265210509300232,,
5,,,,647,,,0.7283999919891357,-0.6442084908485413
5,,,8.765039443969727,647,,,,
,0.0001,0.0001,,649,,,,
6,,,,649,0.736328125,-0.6482008695602417,,
,0.0001,0.0001,,699,,,,
6,,,,699,0.751953125,-0.6699284911155701,,
,0.0001,0.0001,,749,,,,
6,,,,749,0.70703125,-0.6331029534339905,,
6,,,,755,,,0.7336000204086304,-0.6674846410751343
6,,,6.732253551483154,755,,,,
,0.0001,0.0001,,799,,,,
7,,,,799,0.705078125,-0.6443959474563599,,
,0.0001,0.0001,,849,,,,
7,,,,849,0.763671875,-0.684655487537384,,
7,,,,863,,,0.7414000034332275,-0.6851602792739868
7,,,4.816246509552002,863,,,,
,0.0001,0.0001,,899,,,,
8,,,,899,0.7265625,-0.6662663221359253,,
,0.0001,0.0001,,949,,,,
8,,,,949,0.75,-0.6897056102752686,,
8,,,,971,,,0.7462000250816345,-0.6977267861366272
8,,,7.543283462524414,971,,,,
,0.0001,0.0001,,999,,,,
9,,,,999,0.759765625,-0.6994771361351013,,
,0.0001,0.0001,,1049,,,,
9,,,,1049,0.744140625,-0.6910473704338074,,
9,,,,1079,,,0.7513999938964844,-0.7076898217201233
9,,,8.314654350280762,1079,,,,
,0.0001,0.0001,,1099,,,,
10,,,,1099,0.76953125,-0.7259461879730225,,
,0.0001,0.0001,,1149,,,,
10,,,,1149,0.740234375,-0.6973035931587219,,
10,,,,1187,,,0.7552000284194946,-0.7152811884880066
10,,,5.905515193939209,1187,,,,
,0.0001,0.0001,,1199,,,,
11,,,,1199,0.75390625,-0.7129257917404175,,
,0.0001,0.0001,,1249,,,,
11,,,,1249,0.751953125,-0.7198158502578735,,
11,,,,1295,,,0.756600022315979,-0.7219732999801636
11,,,5.2519073486328125,1295,,,,
,0.0001,0.0001,,1299,,,,
12,,,,1299,0.76953125,-0.7246553301811218,,
,0.0001,0.0001,,1349,,,,
12,,,,1349,0.740234375,-0.7116331458091736,,
,0.0001,0.0001,,1399,,,,
12,,,,1399,0.712890625,-0.6794343590736389,,
12,,,,1403,,,0.7594000101089478,-0.727479875087738
12,,,9.642965316772461,1403,,,,
,0.0001,0.0001,,1449,,,,
13,,,,1449,0.763671875,-0.7366034388542175,,
,0.0001,0.0001,,1499,,,,
13,,,,1499,0.779296875,-0.7424022555351257,,
13,,,,1511,,,0.7623999714851379,-0.7323039770126343
13,,,6.993321895599365,1511,,,,
,0.0001,0.0001,,1549,,,,
14,,,,1549,0.751953125,-0.727012038230896,,
,0.0001,0.0001,,1599,,,,
14,,,,1599,0.779296875,-0.7522562146186829,,
14,,,,1619,,,0.7652000188827515,-0.7364783883094788
14,,,5.603064060211182,1619,,,,
,0.0001,0.0001,,1649,,,,
15,,,,1649,0.751953125,-0.7262242436408997,,
,0.0001,0.0001,,1699,,,,
15,,,,1699,0.76953125,-0.745698869228363,,
15,,,,1727,,,0.7657999992370605,-0.7399685382843018
15,,,8.083282470703125,1727,,,,
,0.0001,0.0001,,1749,,,,
16,,,,1749,0.794921875,-0.7669700384140015,,
,0.0001,0.0001,,1799,,,,
16,,,,1799,0.810546875,-0.7911844849586487,,
16,,,,1835,,,0.7666000127792358,-0.7431210875511169
16,,,8.257925033569336,1835,,,,
,0.0001,0.0001,,1849,,,,
17,,,,1849,0.75,-0.7299364805221558,,
,0.0001,0.0001,,1899,,,,
17,,,,1899,0.732421875,-0.7098604440689087,,
17,,,,1943,,,0.7681999802589417,-0.7459625601768494
17,,,7.203493118286133,1943,,,,
,0.0001,0.0001,,1949,,,,
18,,,,1949,0.79296875,-0.7756283283233643,,
,0.0001,0.0001,,1999,,,,
18,,,,1999,0.7734375,-0.7536773681640625,,
18,,,6.941076755523682,1999,,,,
