epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.505859375,-0.4251410961151123,,
,0.001,0.001,,99,,,,
0,,,,99,0.51171875,-0.47917139530181885,,
0,,,,107,,,0.5565999746322632,-0.5154275298118591
0,,,6.942232131958008,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.609375,-0.5740202069282532,,
,0.001,0.001,,199,,,,
1,,,,199,0.607421875,-0.5937660336494446,,
1,,,,215,,,0.6959999799728394,-0.6475146412849426
1,,,6.400084018707275,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.732421875,-0.6983498334884644,,
,0.001,0.001,,299,,,,
2,,,,299,0.74609375,-0.721108078956604,,
2,,,,323,,,0.734000027179718,-0.7120985984802246
2,,,7.264959335327148,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.751953125,-0.7275897860527039,,
,0.001,0.001,,399,,,,
3,,,,399,0.76171875,-0.743562638759613,,
3,,,,431,,,0.7454000115394592,-0.7266983985900879
3,,,7.8984479904174805,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.734375,-0.7241657972335815,,
,0.001,0.001,,499,,,,
4,,,,499,0.720703125,-0.7081604599952698,,
4,,,,539,,,0.7486000061035156,-0.7349081039428711
4,,,7.553560733795166,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.751953125,-0.7397944331169128,,
,0.001,0.001,,599,,,,
5,,,,599,0.736328125,-0.7201310396194458,,
5,,,,647,,,0.7522000074386597,-0.7408062219619751
5,,,6.481480121612549,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.75390625,-0.7384976744651794,,
,0.001,0.001,,699,,,,
6,,,,699,0.734375,-0.7268978953361511,,
,0.001,0.001,,749,,,,
6,,,,749,0.748046875,-0.7303399443626404,,
6,,,,755,,,0.7527999877929688,-0.7440413236618042
6,,,8.687886238098145,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.74609375,-0.7306614518165588,,
,0.001,0.001,,849,,,,
7,,,,849,0.82421875,-0.7870594263076782,,
7,,,,863,,,0.8022000193595886,-0.7836189866065979
7,,,7.670252799987793,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.837890625,-0.8089373707771301,,
,0.001,0.001,,949,,,,
8,,,,949,0.83984375,-0.8214485049247742,,
8,,,,971,,,0.8133999705314636,-0.7991141676902771
8,,,5.470207691192627,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.83203125,-0.8203347325325012,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.810546875,-0.7997241020202637,,
9,,,,1079,,,0.8163999915122986,-0.8041815161705017
9,,,5.495344161987305,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.83984375,-0.8293685913085938,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.822265625,-0.8038122057914734,,
10,,,,1187,,,0.8208000063896179,-0.8073367476463318
10,,,6.602222919464111,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.798828125,-0.7875217199325562,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.83984375,-0.8210082650184631,,
11,,,,1295,,,0.8190000057220459,-0.8090614080429077
11,,,5.360032081604004,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.826171875,-0.8101527094841003,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.857421875,-0.8310724496841431,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.880859375,-0.857955813407898,,
12,,,,1403,,,0.8759999871253967,-0.8413568139076233
12,,,4.5759596824646,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.892578125,-0.8778630495071411,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.896484375,-0.8881105184555054,,
13,,,,1511,,,0.8906000256538391,-0.8721188306808472
13,,,7.5460309982299805,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.900390625,-0.8856476545333862,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.923828125,-0.9034906625747681,,
14,,,,1619,,,0.8944000005722046,-0.879095196723938
14,,,9.49645709991455,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.90625,-0.8917882442474365,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.9140625,-0.8993746638298035,,
15,,,,1727,,,0.8944000005722046,-0.8794386982917786
15,,,8.771677017211914,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.90625,-0.884654700756073,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.919921875,-0.9049026966094971,,
16,,,,1835,,,0.8978000283241272,-0.8861886858940125
16,,,5.766259670257568,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.908203125,-0.8942264318466187,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.91796875,-0.9017783403396606,,
17,,,,1943,,,0.8970000147819519,-0.8815180659294128
17,,,8.275165557861328,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.9375,-0.9235234260559082,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.935546875,-0.9196722507476807,,
18,,,8.185985565185547,1999,,,,
