epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.736328125,-0.5936377048492432,,
,0.001,0.001,,99,,,,
0,,,,99,0.85546875,-0.7606887817382812,,
0,,,,107,,,0.8859999775886536,-0.8073227405548096
0,,,8.424199104309082,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.8828125,-0.8352283835411072,,
,0.001,0.001,,199,,,,
1,,,,199,0.892578125,-0.8553170561790466,,
1,,,,215,,,0.9103999733924866,-0.8708339929580688
1,,,9.411012649536133,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.904296875,-0.8745321035385132,,
,0.001,0.001,,299,,,,
2,,,,299,0.927734375,-0.9007229804992676,,
2,,,,323,,,0.9174000024795532,-0.8901758790016174
2,,,6.017255783081055,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.9375,-0.9021198749542236,,
,0.001,0.001,,399,,,,
3,,,,399,0.931640625,-0.9053404927253723,,
3,,,,431,,,0.921999990940094,-0.8995794653892517
3,,,4.245357036590576,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.921875,-0.9050755500793457,,
,0.001,0.001,,499,,,,
4,,,,499,0.921875,-0.9007094502449036,,
4,,,,539,,,0.9279999732971191,-0.907607913017273
4,,,6.87583589553833,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.91015625,-0.8954169750213623,,
,0.001,0.001,,599,,,,
5,,,,599,0.947265625,-0.9268772602081299,,
5,,,,647,,,0.9291999936103821,-0.9122057557106018
5,,,6.746551513671875,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.94140625,-0.9286661148071289,,
,0.001,0.001,,699,,,,
6,,,,699,0.908203125,-0.9002225399017334,,
,0.001,0.001,,749,,,,
6,,,,749,0.935546875,-0.92222660779953,,
6,,,,755,,,0.9323999881744385,-0.916716992855072
6,,,8.14130687713623,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.943359375,-0.9233831167221069,,
,0.001,0.001,,849,,,,
7,,,,849,0.921875,-0.9071462750434875,,
7,,,,863,,,0.932200014591217,-0.9191293716430664
7,,,6.275584697723389,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.923828125,-0.910124659538269,,
,0.001,0.001,,949,,,,
8,,,,949,0.939453125,-0.9244552850723267,,
8,,,,971,,,0.9350000023841858,-0.9212767481803894
8,,,6.176749229431152,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.955078125,-0.9352790117263794,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.9296875,-0.9239158630371094,,
9,,,,1079,,,0.9348000288009644,-0.9240912795066833
9,,,8.209914207458496,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.935546875,-0.92591392993927,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.953125,-0.9376854300498962,,
10,,,,1187,,,0.9381999969482422,-0.926967203617096
10,,,7.472796440124512,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.947265625,-0.9365752339363098,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.966796875,-0.9541054964065552,,
11,,,,1295,,,0.9386000037193298,-0.9286546111106873
11,,,5.998931407928467,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.947265625,-0.9362862706184387,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.9453125,-0.9325061440467834,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.935546875,-0.9290484189987183,,
12,,,,1403,,,0.9391999840736389,-0.9294702410697937
12,,,6.158344268798828,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.9375,-0.9311570525169373,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.94921875,-0.9395363330841064,,
13,,,,1511,,,0.9377999901771545,-0.9305355548858643
13,,,6.758352756500244,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.9375,-0.9302873015403748,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.94921875,-0.9421274662017822,,
14,,,,1619,,,0.9390000104904175,-0.9318236112594604
14,,,7.542487621307373,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.9296875,-0.9228212833404541,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.935546875,-0.9235605001449585,,
15,,,,1727,,,0.9412000179290771,-0.9326653480529785
15,,,9.28665542602539,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.939453125,-0.9291709065437317,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.962890625,-0.9534668922424316,,
16,,,,1835,,,0.9413999915122986,-0.933066725730896
16,,,6.881338596343994,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.951171875,-0.9409087300300598,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.955078125,-0.9462639689445496,,
17,,,,1943,,,0.9416000247001648,-0.9337097406387329
17,,,9.573946952819824,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.9609375,-0.9518359303474426,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.9453125,-0.935486376285553,,
18,,,7.82608699798584,1999,,,,
