epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.69921875,-0.5873414874076843,,
,0.001,0.001,,99,,,,
0,,,,99,0.68359375,-0.6414333581924438,,
0,,,,107,,,0.7567999958992004,-0.7132769823074341
0,,,9.91141414642334,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.75,-0.7259580492973328,,
,0.001,0.001,,199,,,,
1,,,,199,0.818359375,-0.7774162888526917,,
1,,,,215,,,0.8334000110626221,-0.7960951924324036
1,,,10.357950210571289,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.853515625,-0.8171231746673584,,
,0.001,0.001,,299,,,,
2,,,,299,0.921875,-0.8874901533126831,,
2,,,,323,,,0.9139999747276306,-0.8840870261192322
2,,,6.958500862121582,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.935546875,-0.8973633646965027,,
,0.001,0.001,,399,,,,
3,,,,399,0.927734375,-0.9042468667030334,,
3,,,,431,,,0.9229999780654907,-0.9020740389823914
3,,,8.187919616699219,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.919921875,-0.9078624248504639,,
,0.001,0.001,,499,,,,
4,,,,499,0.91796875,-0.9015389680862427,,
4,,,,539,,,0.9305999875068665,-0.9123373031616211
4,,,6.354036331176758,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.919921875,-0.902991771697998,,
,0.001,0.001,,599,,,,
5,,,,599,0.955078125,-0.9351651072502136,,
5,,,,647,,,0.9337999820709229,-0.919853150844574
5,,,4.520391941070557,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.95703125,-0.939933717250824,,
,0.001,0.001,,699,,,,
6,,,,699,0.927734375,-0.9166615009307861,,
,0.001,0.001,,749,,,,
6,,,,749,0.94921875,-0.936057984828949,,
6,,,,755,,,0.9409999847412109,-0.9251590967178345
6,,,8.120128631591797,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.94921875,-0.9314782619476318,,
,0.001,0.001,,849,,,,
7,,,,849,0.9375,-0.9260111451148987,,
7,,,,863,,,0.944599986076355,-0.9302591681480408
7,,,7.71271276473999,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.9453125,-0.9295666813850403,,
,0.001,0.001,,949,,,,
8,,,,949,0.9453125,-0.9387950897216797,,
8,,,,971,,,0.9449999928474426,-0.9337210655212402
8,,,7.469779014587402,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.958984375,-0.9455957412719727,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.943359375,-0.9366327524185181,,
9,,,,1079,,,0.9472000002861023,-0.9363123178482056
9,,,5.48553466796875,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.94921875,-0.9402180910110474,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.96875,-0.9514731764793396,,
10,,,,1187,,,0.9480000138282776,-0.9385606646537781
10,,,7.377968788146973,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.966796875,-0.9516474008560181,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.970703125,-0.960948646068573,,
11,,,,1295,,,0.9509999752044678,-0.9412240982055664
11,,,8.423368453979492,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.9609375,-0.9531866312026978,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.958984375,-0.9516016840934753,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.953125,-0.945279598236084,,
12,,,,1403,,,0.9516000151634216,-0.9425960183143616
12,,,6.8422722816467285,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.962890625,-0.9544908404350281,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.962890625,-0.9526088833808899,,
13,,,,1511,,,0.951200008392334,-0.9434711933135986
13,,,6.207807540893555,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.962890625,-0.9524152278900146,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.962890625,-0.9548596143722534,,
14,,,,1619,,,0.9545999765396118,-0.9459108114242554
14,,,8.138115882873535,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.9609375,-0.9470822811126709,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.955078125,-0.9455015659332275,,
15,,,,1727,,,0.954800009727478,-0.9479607343673706
15,,,6.689610481262207,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.970703125,-0.9603853821754456,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.97265625,-0.9658567905426025,,
16,,,,1835,,,0.9571999907493591,-0.9487781524658203
16,,,7.583127498626709,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.966796875,-0.9592122435569763,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.978515625,-0.9699856042861938,,
17,,,,1943,,,0.9570000171661377,-0.9498500823974609
17,,,8.768729209899902,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.97265625,-0.9651182293891907,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.97265625,-0.9642179012298584,,
18,,,8.654605865478516,1999,,,,
