epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.004750000000024999,0.004750000000024999,,49,,,,
0,,,,49,0.80078125,-0.7735711932182312,,
,0.004750000000024999,0.004750000000024999,,99,,,,
0,,,,99,0.77734375,-0.7696506977081299,,
0,,,,107,,,0.7940000295639038,-0.6795911192893982
0,,,7.717071056365967,107,,,,
,0.004750000000024999,0.004750000000024999,,149,,,,
1,,,,149,0.83984375,-0.8315669894218445,,
,0.004750000000024999,0.004750000000024999,,199,,,,
1,,,,199,0.892578125,-0.8758135437965393,,
1,,,,215,,,0.9047999978065491,-0.8858769536018372
1,,,4.8498005867004395,215,,,,
,0.004750000000024999,0.004750000000024999,,249,,,,
2,,,,249,0.904296875,-0.887333869934082,,
,0.004750000000024999,0.004750000000024999,,299,,,,
2,,,,299,0.935546875,-0.9207244515419006,,
2,,,,323,,,0.9103999733924866,-0.8963834047317505
2,,,7.0109663009643555,323,,,,
,0.004750000000024999,0.004750000000024999,,349,,,,
3,,,,349,0.931640625,-0.9140104651451111,,
,0.004750000000024999,0.004750000000024999,,399,,,,
3,,,,399,0.919921875,-0.913124680519104,,
3,,,,431,,,0.9103999733924866,-0.8982108235359192
3,,,6.966289520263672,431,,,,
,0.004750000000024999,0.004750000000024999,,449,,,,
4,,,,449,0.916015625,-0.9058213233947754,,
,0.004750000000024999,0.004750000000024999,,499,,,,
4,,,,499,0.904296875,-0.8965801000595093,,
4,,,,539,,,0.9156000018119812,-0.9057188630104065
4,,,5.550037384033203,539,,,,
,0.004750000000024999,0.004750000000024999,,549,,,,
5,,,,549,0.904296875,-0.8904370665550232,,
,0.004750000000024999,0.004750000000024999,,599,,,,
5,,,,599,0.939453125,-0.9257366061210632,,
5,,,,647,,,0.9147999882698059,-0.904408872127533
5,,,4.627602577209473,647,,,,
,0.004750000000024999,0.004750000000024999,,649,,,,
6,,,,649,0.9375,-0.9254886507987976,,
,0.004750000000024999,0.004750000000024999,,699,,,,
6,,,,699,0.908203125,-0.899661123752594,,
,0.004750000000024999,0.004750000000024999,,749,,,,
6,,,,749,0.931640625,-0.9177933931350708,,
6,,,,755,,,0.920199990272522,-0.9113115072250366
6,,,7.4526166915893555,755,,,,
,0.004750000000024999,0.004750000000024999,,799,,,,
7,,,,799,0.94140625,-0.925163745880127,,
,0.004750000000024999,0.004750000000024999,,849,,,,
7,,,,849,0.91796875,-0.9097124338150024,,
7,,,,863,,,0.9192000031471252,-0.9107121229171753
7,,,8.181979179382324,863,,,,
,0.004750000000024999,0.004750000000024999,,899,,,,
8,,,,899,0.90625,-0.9014153480529785,,
,0.004750000000024999,0.004750000000024999,,949,,,,
8,,,,949,0.92578125,-0.9196545481681824,,
8,,,,971,,,0.9192000031471252,-0.9102224707603455
8,,,8.061895370483398,971,,,,
,0.004750000000024999,0.004750000000024999,,999,,,,
9,,,,999,0.931640625,-0.9238196015357971,,
,0.004750000000024999,0.004750000000024999,,1049,,,,
9,,,,1049,0.912109375,-0.9097174406051636,,
9,,,,1079,,,0.9197999835014343,-0.9124809503555298
9,,,6.059624195098877,1079,,,,
,0.004750000000024999,0.004750000000024999,,1099,,,,
10,,,,1099,0.931640625,-0.9170634746551514,,
,0.004750000000024999,0.004750000000024999,,1149,,,,
10,,,,1149,0.935546875,-0.9233272075653076,,
10,,,,1187,,,0.9218000173568726,-0.913519024848938
