epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.004750000000024999,0.004750000000024999,,49,,,,
0,,,,49,0.8125,-0.7811772227287292,,
,0.004750000000024999,0.004750000000024999,,99,,,,
0,,,,99,0.791015625,-0.7748730778694153,,
0,,,,107,,,0.8356000185012817,-0.7768430113792419
0,,,6.3401947021484375,107,,,,
,0.004750000000024999,0.004750000000024999,,149,,,,
1,,,,149,0.888671875,-0.8743617534637451,,
,0.004750000000024999,0.004750000000024999,,199,,,,
1,,,,199,0.896484375,-0.8876466751098633,,
1,,,,215,,,0.9168000221252441,-0.8988323211669922
1,,,6.781504154205322,215,,,,
,0.004750000000024999,0.004750000000024999,,249,,,,
2,,,,249,0.912109375,-0.8948954343795776,,
,0.004750000000024999,0.004750000000024999,,299,,,,
2,,,,299,0.94140625,-0.9281609654426575,,
2,,,,323,,,0.9241999983787537,-0.9097964763641357
2,,,6.323234558105469,323,,,,
,0.004750000000024999,0.004750000000024999,,349,,,,
3,,,,349,0.939453125,-0.9245401620864868,,
,0.004750000000024999,0.004750000000024999,,399,,,,
3,,,,399,0.935546875,-0.9198981523513794,,
3,,,,431,,,0.9251999855041504,-0.912529468536377
3,,,10.811164855957031,431,,,,
,0.004750000000024999,0.004750000000024999,,449,,,,
4,,,,449,0.92578125,-0.9191491603851318,,
,0.004750000000024999,0.004750000000024999,,499,,,,
4,,,,499,0.927734375,-0.9177916049957275,,
4,,,,539,,,0.928600013256073,-0.9179795980453491
4,,,7.145824909210205,539,,,,
,0.004750000000024999,0.004750000000024999,,549,,,,
5,,,,549,0.916015625,-0.9069942831993103,,
,0.004750000000024999,0.004750000000024999,,599,,,,
5,,,,599,0.953125,-0.9398384094238281,,
5,,,,647,,,0.9297999739646912,-0.9207965135574341
5,,,9.75803279876709,647,,,,
,0.004750000000024999,0.004750000000024999,,649,,,,
6,,,,649,0.951171875,-0.9427676796913147,,
,0.004750000000024999,0.004750000000024999,,699,,,,
6,,,,699,0.923828125,-0.9171613454818726,,
,0.004750000000024999,0.004750000000024999,,749,,,,
6,,,,749,0.935546875,-0.9300299286842346,,
6,,,,755,,,0.9283999800682068,-0.9214593768119812
6,,,9.574407577514648,755,,,,
,0.004750000000024999,0.004750000000024999,,799,,,,
7,,,,799,0.939453125,-0.9282640814781189,,
,0.004750000000024999,0.004750000000024999,,849,,,,
7,,,,849,0.935546875,-0.9236979484558105,,
7,,,,863,,,0.9327999949455261,-0.9236086010932922
7,,,4.94530725479126,863,,,,
,0.004750000000024999,0.004750000000024999,,899,,,,
8,,,,899,0.93359375,-0.9191290736198425,,
,0.004750000000024999,0.004750000000024999,,949,,,,
8,,,,949,0.931640625,-0.9287386536598206,,
8,,,,971,,,0.9362000226974487,-0.9282601475715637
8,,,6.886497974395752,971,,,,
,0.004750000000024999,0.004750000000024999,,999,,,,
9,,,,999,0.9453125,-0.9358603954315186,,
,0.004750000000024999,0.004750000000024999,,1049,,,,
9,,,,1049,0.927734375,-0.9226860404014587,,
9,,,,1079,,,0.9354000091552734,-0.9265138506889343
9,,,8.358064651489258,1079,,,,
,0.004750000000024999,0.004750000000024999,,1099,,,,
10,,,,1099,0.9296875,-0.919361412525177,,
,0.004750000000024999,0.004750000000024999,,1149,,,,
10,,,,1149,0.9453125,-0.9334093332290649,,
10,,,,1187,,,0.9404000043869019,-0.932033121585846
10,,,8.150655746459961,1187,,,,
,0.004750000000024999,0.004750000000024999,,1199,,,,
11,,,,1199,0.939453125,-0.9336840510368347,,
,0.004750000000024999,0.004750000000024999,,1249,,,,
11,,,,1249,0.955078125,-0.9452691078186035,,
11,,,,1295,,,0.9369999766349792,-0.9294835925102234
11,,,5.647156715393066,1295,,,,
,0.004750000000024999,0.004750000000024999,,1299,,,,
12,,,,1299,0.9375,-0.9341800808906555,,
,0.004750000000024999,0.004750000000024999,,1349,,,,
12,,,,1349,0.943359375,-0.9286623597145081,,
