epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.02,0.02,,49,,,,
0,,,,49,0.62890625,-0.6208487749099731,,
,0.02,0.02,,99,,,,
0,,,,99,0.638671875,-0.630742073059082,,
0,,,,107,,,0.6715999841690063,-0.6595416069030762
0,,,12.313265800476074,107,,,,
,0.02,0.02,,149,,,,
1,,,,149,0.666015625,-0.6585276126861572,,
,0.02,0.02,,199,,,,
1,,,,199,0.69140625,-0.6870747804641724,,
1,,,,215,,,0.6758000254631042,-0.669833242893219
1,,,8.278499603271484,215,,,,
,0.02,0.02,,249,,,,
2,,,,249,0.630859375,-0.6274659633636475,,
,0.02,0.02,,299,,,,
2,,,,299,0.650390625,-0.6462014317512512,,
2,,,,323,,,0.6692000031471252,-0.6653814315795898
2,,,6.528461456298828,323,,,,
,0.02,0.02,,349,,,,
3,,,,349,0.64453125,-0.6391279697418213,,
,0.02,0.02,,399,,,,
3,,,,399,0.6953125,-0.6903413534164429,,
3,,,,431,,,0.673799991607666,-0.6687428951263428
3,,,10.461003303527832,431,,,,
,0.02,0.02,,449,,,,
4,,,,449,0.6640625,-0.6594895124435425,,
,0.02,0.02,,499,,,,
4,,,,499,0.666015625,-0.6593202948570251,,
4,,,,539,,,0.6723999977111816,-0.6673122048377991
4,,,6.682555675506592,539,,,,
,0.02,0.02,,549,,,,
5,,,,549,0.65234375,-0.6503720283508301,,
,0.02,0.02,,599,,,,
5,,,,599,0.7109375,-0.7054424285888672,,
5,,,,647,,,0.6725999712944031,-0.6680561900138855
5,,,8.637979507446289,647,,,,
,0.02,0.02,,649,,,,
6,,,,649,0.69921875,-0.6955996155738831,,
,0.02,0.02,,699,,,,
6,,,,699,0.68359375,-0.6792298555374146,,
,0.02,0.02,,749,,,,
6,,,,749,0.640625,-0.6327691078186035,,
6,,,,755,,,0.6733999848365784,-0.6685358881950378
6,,,7.861417770385742,755,,,,
,0.02,0.02,,799,,,,
7,,,,799,0.70703125,-0.7026175856590271,,
,0.02,0.02,,849,,,,
7,,,,849,0.703125,-0.7008688449859619,,
7,,,,863,,,0.673799991607666,-0.6719368696212769
7,,,7.8502373695373535,863,,,,
,0.02,0.02,,899,,,,
8,,,,899,0.658203125,-0.6561616063117981,,
,0.02,0.02,,949,,,,
8,,,,949,0.669921875,-0.6619166731834412,,
8,,,,971,,,0.6728000044822693,-0.6693941354751587
8,,,7.5785980224609375,971,,,,
,0.02,0.02,,999,,,,
9,,,,999,0.658203125,-0.6616606116294861,,
,0.02,0.02,,1049,,,,
9,,,,1049,0.66015625,-0.6545575857162476,,
9,,,,1079,,,0.6772000193595886,-0.6736424565315247
9,,,10.477932929992676,1079,,,,
,0.02,0.02,,1099,,,,
10,,,,1099,0.64453125,-0.6436575651168823,,
,0.02,0.02,,1149,,,,
10,,,,1149,0.67578125,-0.6731246709823608,,
10,,,,1187,,,0.6672000288963318,-0.6650257706642151
10,,,8.303718566894531,1187,,,,
,0.02,0.02,,1199,,,,
11,,,,1199,0.66015625,-0.6591761708259583,,
,0.02,0.02,,1249,,,,
11,,,,1249,0.67578125,-0.6768693327903748,,
11,,,,1295,,,0.6711999773979187,-0.6687026619911194
11,,,6.841800689697266,1295,,,,
,0.02,0.02,,1299,,,,
12,,,,1299,0.6640625,-0.6602351069450378,,
,0.02,0.02,,1349,,,,
12,,,,1349,0.666015625,-0.6664550304412842,,
,0.02,0.02,,1399,,,,
12,,,,1399,0.640625,-0.6379121541976929,,
12,,,,1403,,,0.6696000099182129,-0.6675024032592773
12,,,6.184599876403809,1403,,,,
,0.02,0.02,,1449,,,,
13,,,,1449,0.65625,-0.649127721786499,,
,0.02,0.02,,1499,,,,
13,,,,1499,0.69140625,-0.6881420612335205,,
13,,,,1511,,,0.6657999753952026,-0.6634617447853088
13,,,4.893943786621094,1511,,,,
,0.02,0.02,,1549,,,,
14,,,,1549,0.650390625,-0.6460725665092468,,
,0.02,0.02,,1599,,,,
14,,,,1599,0.6875,-0.6876528263092041,,
14,,,,1619,,,0.6679999828338623,-0.664757490158081
14,,,6.547522068023682,1619,,,,
,0.02,0.02,,1649,,,,
15,,,,1649,0.67578125,-0.672197699546814,,
,0.02,0.02,,1699,,,,
15,,,,1699,0.666015625,-0.664821982383728,,
15,,,,1727,,,0.6633999943733215,-0.6605230569839478
15,,,9.681567192077637,1727,,,,
,0.02,0.02,,1749,,,,
16,,,,1749,0.640625,-0.6366145014762878,,
,0.02,0.02,,1799,,,,
16,,,,1799,0.7109375,-0.7040082216262817,,
16,,,,1835,,,0.6686000227928162,-0.6648989915847778
16,,,6.0457258224487305,1835,,,,
,0.02,0.02,,1849,,,,
17,,,,1849,0.6875,-0.6840910315513611,,
,0.02,0.02,,1899,,,,
17,,,,1899,0.638671875,-0.6367030143737793,,
17,,,,1943,,,0.6682000160217285,-0.6662188768386841
17,,,8.15722942352295,1943,,,,
,0.02,0.02,,1949,,,,
18,,,,1949,0.697265625,-0.6923700571060181,,
,0.02,0.02,,1999,,,,
18,,,,1999,0.6953125,-0.6934697031974792,,
18,,,7.021374225616455,1999,,,,
