epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.798828125,-0.789607584476471,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.78125,-0.7766475677490234,,
0,,,,107,,,0.8149999976158142,-0.7664052248001099
0,,,8.540740013122559,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.830078125,-0.8247520327568054,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.81640625,-0.8154136538505554,,
1,,,,215,,,0.8274000287055969,-0.8098390698432922
1,,,7.928389072418213,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.83203125,-0.8303859829902649,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.875,-0.8646076321601868,,
2,,,,323,,,0.8324000239372253,-0.8128254413604736
2,,,6.270168304443359,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.857421875,-0.8482341766357422,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.91796875,-0.902344286441803,,
3,,,,431,,,0.9100000262260437,-0.8982358574867249
3,,,7.839475631713867,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.91015625,-0.9044157862663269,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.90625,-0.8974500298500061,,
4,,,,539,,,0.8967999815940857,-0.8836851716041565
4,,,4.443125247955322,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.87890625,-0.8712013363838196,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.93359375,-0.9219633340835571,,
5,,,,647,,,0.9074000120162964,-0.8971201181411743
5,,,6.990933895111084,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.927734375,-0.9106510877609253,,
,0.009500000000049998,0.009500000000049998,,699,,,,
6,,,,699,0.90234375,-0.8965506553649902,,
,0.009500000000049998,0.009500000000049998,,749,,,,
6,,,,749,0.92578125,-0.912585437297821,,
6,,,,755,,,0.9039999842643738,-0.8967761993408203
6,,,9.043303489685059,755,,,,
,0.009500000000049998,0.009500000000049998,,799,,,,
7,,,,799,0.921875,-0.915566623210907,,
,0.009500000000049998,0.009500000000049998,,849,,,,
7,,,,849,0.908203125,-0.8967800736427307,,
7,,,,863,,,0.9075999855995178,-0.8995367288589478
