epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.01,0.01,,49,,,,
0,,,,49,0.857421875,-0.8352387547492981,,
,0.01,0.01,,99,,,,
0,,,,99,0.890625,-0.8716941475868225,,
0,,,,107,,,0.9064000248908997,-0.8833087086677551
0,,,7.669610500335693,107,,,,
,0.01,0.01,,149,,,,
1,,,,149,0.904296875,-0.8810055255889893,,
,0.01,0.01,,199,,,,
1,,,,199,0.900390625,-0.8959170579910278,,
1,,,,215,,,0.9133999943733215,-0.8982349634170532
1,,,6.305873394012451,215,,,,
,0.01,0.01,,249,,,,
2,,,,249,0.912109375,-0.8971648216247559,,
,0.01,0.01,,299,,,,
2,,,,299,0.927734375,-0.9199537038803101,,
2,,,,323,,,0.9160000085830688,-0.9028719663619995
2,,,5.574477672576904,323,,,,
,0.01,0.01,,349,,,,
3,,,,349,0.935546875,-0.9238826632499695,,
,0.01,0.01,,399,,,,
3,,,,399,0.931640625,-0.9149357080459595,,
3,,,,431,,,0.9175999760627747,-0.9070674777030945
3,,,7.483392238616943,431,,,,
,0.01,0.01,,449,,,,
4,,,,449,0.921875,-0.9124122858047485,,
,0.01,0.01,,499,,,,
4,,,,499,0.91796875,-0.9067502021789551,,
4,,,,539,,,0.9218000173568726,-0.913026750087738
4,,,6.731671333312988,539,,,,
,0.01,0.01,,549,,,,
5,,,,549,0.9140625,-0.9064987897872925,,
,0.01,0.01,,599,,,,
5,,,,599,0.927734375,-0.9227357506752014,,
5,,,,647,,,0.923799991607666,-0.9124215841293335
5,,,7.881411075592041,647,,,,
,0.01,0.01,,649,,,,
6,,,,649,0.943359375,-0.9297447800636292,,
,0.01,0.01,,699,,,,
6,,,,699,0.91015625,-0.9040787816047668,,
,0.01,0.01,,749,,,,
6,,,,749,0.919921875,-0.9120790362358093,,
6,,,,755,,,0.9197999835014343,-0.911797046661377
6,,,6.235872745513916,755,,,,
,0.01,0.01,,799,,,,
7,,,,799,0.927734375,-0.9206566214561462,,
,0.01,0.01,,849,,,,
7,,,,849,0.919921875,-0.9125933051109314,,
7,,,,863,,,0.9205999970436096,-0.9112359285354614
7,,,6.671817779541016,863,,,,
,0.01,0.01,,899,,,,
8,,,,899,0.912109375,-0.9060084819793701,,
,0.01,0.01,,949,,,,
8,,,,949,0.92578125,-0.9152963161468506,,
8,,,,971,,,0.920799970626831,-0.913108766078949
8,,,9.111869812011719,971,,,,
,0.01,0.01,,999,,,,
9,,,,999,0.94140625,-0.9297537803649902,,
,0.01,0.01,,1049,,,,
9,,,,1049,0.919921875,-0.9129857420921326,,
9,,,,1079,,,0.925000011920929,-0.9185535907745361
9,,,7.408505916595459,1079,,,,
,0.01,0.01,,1099,,,,
10,,,,1099,0.92578125,-0.9185941219329834,,
,0.01,0.01,,1149,,,,
10,,,,1149,0.9296875,-0.9277144074440002,,
10,,,,1187,,,0.9241999983787537,-0.9177328944206238
10,,,7.034399509429932,1187,,,,
,0.01,0.01,,1199,,,,
11,,,,1199,0.9296875,-0.921419620513916,,
,0.01,0.01,,1249,,,,
11,,,,1249,0.947265625,-0.9395760297775269,,
11,,,,1295,,,0.930400013923645,-0.9225853681564331
11,,,5.212818145751953,1295,,,,
,0.01,0.01,,1299,,,,
12,,,,1299,0.93359375,-0.9298309683799744,,
,0.01,0.01,,1349,,,,
12,,,,1349,0.91015625,-0.8997842073440552,,
,0.01,0.01,,1399,,,,
12,,,,1399,0.900390625,-0.8988029360771179,,
12,,,,1403,,,0.9168000221252441,-0.9123062491416931
12,,,9.876225471496582,1403,,,,
,0.01,0.01,,1449,,,,
13,,,,1449,0.927734375,-0.9179476499557495,,
,0.01,0.01,,1499,,,,
13,,,,1499,0.91796875,-0.9122647643089294,,
13,,,,1511,,,0.9049999713897705,-0.8941991925239563
13,,,6.933894157409668,1511,,,,
,0.01,0.01,,1549,,,,
14,,,,1549,0.908203125,-0.908595621585846,,
,0.01,0.01,,1599,,,,
14,,,,1599,0.931640625,-0.9241318702697754,,
14,,,,1619,,,0.9204000234603882,-0.9133820533752441
14,,,5.666244029998779,1619,,,,
,0.01,0.01,,1649,,,,
15,,,,1649,0.919921875,-0.9097325801849365,,
,0.01,0.01,,1699,,,,
15,,,,1699,0.91796875,-0.9101799130439758,,
15,,,,1727,,,0.925599992275238,-0.9188376665115356
15,,,7.638544082641602,1727,,,,
,0.01,0.01,,1749,,,,
16,,,,1749,0.927734375,-0.9189804196357727,,
,0.01,0.01,,1799,,,,
16,,,,1799,0.921875,-0.9178115129470825,,
16,,,,1835,,,0.9247999787330627,-0.9201928973197937
16,,,5.31404447555542,1835,,,,
,0.01,0.01,,1849,,,,
17,,,,1849,0.939453125,-0.9324146509170532,,
,0.01,0.01,,1899,,,,
17,,,,1899,0.931640625,-0.924140214920044,,
17,,,,1943,,,0.9243999719619751,-0.9178276658058167
17,,,5.860225200653076,1943,,,,
,0.01,0.01,,1949,,,,
18,,,,1949,0.931640625,-0.927934467792511,,
,0.01,0.01,,1999,,,,
18,,,,1999,0.9296875,-0.9239426851272583,,
18,,,8.54494857788086,1999,,,,
