epoch,lr-FloraAdam/pg1,lr-FloraAdam/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009500000000049998,0.009500000000049998,,49,,,,
0,,,,49,0.806640625,-0.797812819480896,,
,0.009500000000049998,0.009500000000049998,,99,,,,
0,,,,99,0.8046875,-0.7916403412818909,,
0,,,,107,,,0.8579999804496765,-0.8297675848007202
0,,,10.731179237365723,107,,,,
,0.009500000000049998,0.009500000000049998,,149,,,,
1,,,,149,0.888671875,-0.8794389367103577,,
,0.009500000000049998,0.009500000000049998,,199,,,,
1,,,,199,0.904296875,-0.8900861740112305,,
1,,,,215,,,0.9121999740600586,-0.8939043879508972
1,,,7.6141133308410645,215,,,,
,0.009500000000049998,0.009500000000049998,,249,,,,
2,,,,249,0.90625,-0.8949335813522339,,
,0.009500000000049998,0.009500000000049998,,299,,,,
2,,,,299,0.9375,-0.9270931482315063,,
2,,,,323,,,0.9120000004768372,-0.8973054885864258
2,,,8.237706184387207,323,,,,
,0.009500000000049998,0.009500000000049998,,349,,,,
3,,,,349,0.943359375,-0.9265506863594055,,
,0.009500000000049998,0.009500000000049998,,399,,,,
3,,,,399,0.9296875,-0.9255472421646118,,
3,,,,431,,,0.9182000160217285,-0.9081118106842041
3,,,8.106142044067383,431,,,,
,0.009500000000049998,0.009500000000049998,,449,,,,
4,,,,449,0.92578125,-0.9189735651016235,,
,0.009500000000049998,0.009500000000049998,,499,,,,
4,,,,499,0.92578125,-0.9108604192733765,,
4,,,,539,,,0.9211999773979187,-0.910329282283783
4,,,5.1857123374938965,539,,,,
,0.009500000000049998,0.009500000000049998,,549,,,,
5,,,,549,0.912109375,-0.904228150844574,,
,0.009500000000049998,0.009500000000049998,,599,,,,
5,,,,599,0.9453125,-0.9390958547592163,,
5,,,,647,,,0.9232000112533569,-0.9153122901916504
5,,,8.545356750488281,647,,,,
,0.009500000000049998,0.009500000000049998,,649,,,,
6,,,,649,0.939453125,-0.9336498975753784,,
,0.009500000000049998,0.009500000000049998,,699,,,,
6,,,,699,0.927734375,-0.914431631565094,,
,0.009500000000049998,0.009500000000049998,,749,,,,
6,,,,749,0.9296875,-0.9241730570793152,,
6,,,,755,,,0.9190000295639038,-0.9137643575668335
6,,,7.683002471923828,755,,,,
,0.009500000000049998,0.009500000000049998,,799,,,,
7,,,,799,0.93359375,-0.9283214807510376,,
,0.009500000000049998,0.009500000000049998,,849,,,,
7,,,,849,0.92578125,-0.9163410663604736,,
7,,,,863,,,0.9272000193595886,-0.9172132015228271
7,,,8.115949630737305,863,,,,
,0.009500000000049998,0.009500000000049998,,899,,,,
8,,,,899,0.916015625,-0.9043238759040833,,
,0.009500000000049998,0.009500000000049998,,949,,,,
8,,,,949,0.931640625,-0.9256772994995117,,
8,,,,971,,,0.9276000261306763,-0.9200951457023621
8,,,6.348433971405029,971,,,,
,0.009500000000049998,0.009500000000049998,,999,,,,
9,,,,999,0.931640625,-0.9224775433540344,,
