epoch,lr-FloraAdamFactoredMAS/pg1,lr-FloraAdamFactoredMAS/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.751953125,-0.6705469489097595,,
,0.001,0.001,,99,,,,
0,,,,99,0.751953125,-0.7136566638946533,,
0,,,,107,,,0.7630000114440918,-0.7278943061828613
0,,,11.147727966308594,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.77734375,-0.7596998810768127,,
,0.001,0.001,,199,,,,
1,,,,199,0.740234375,-0.7217292785644531,,
1,,,,215,,,0.7684000134468079,-0.7513125538825989
1,,,9.223971366882324,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.779296875,-0.765964686870575,,
,0.001,0.001,,299,,,,
2,,,,299,0.8359375,-0.8108486533164978,,
2,,,,323,,,0.8442000150680542,-0.8227663040161133
2,,,9.621295928955078,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.8671875,-0.8449212312698364,,
,0.001,0.001,,399,,,,
3,,,,399,0.8515625,-0.829149067401886,,
3,,,,431,,,0.8483999967575073,-0.8330563306808472
3,,,9.048951148986816,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.865234375,-0.8489765524864197,,
,0.001,0.001,,499,,,,
4,,,,499,0.841796875,-0.8252760767936707,,
4,,,,539,,,0.8528000116348267,-0.8394795060157776
4,,,11.850748062133789,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.87109375,-0.8549633622169495,,
,0.001,0.001,,599,,,,
5,,,,599,0.841796875,-0.8385088443756104,,
5,,,,647,,,0.8547999858856201,-0.8436302542686462
5,,,9.401951789855957,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.845703125,-0.8395609259605408,,
,0.001,0.001,,699,,,,
6,,,,699,0.8515625,-0.8430116772651672,,
,0.001,0.001,,749,,,,
6,,,,749,0.84375,-0.8296207785606384,,
6,,,,755,,,0.8575999736785889,-0.8478607535362244
6,,,9.888014793395996,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.849609375,-0.8361127376556396,,
,0.001,0.001,,849,,,,
7,,,,849,0.87890625,-0.8693339228630066,,
7,,,,863,,,0.8618000149726868,-0.8512434363365173
7,,,10.899127960205078,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.86328125,-0.8575474619865417,,
,0.001,0.001,,949,,,,
8,,,,949,0.869140625,-0.8595572113990784,,
8,,,,971,,,0.8629999756813049,-0.8534033298492432
8,,,10.173063278198242,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.876953125,-0.868458092212677,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.900390625,-0.8781701922416687,,
9,,,,1079,,,0.9174000024795532,-0.8995462656021118
9,,,10.362876892089844,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.9453125,-0.9269376397132874,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.927734375,-0.9107022881507874,,
10,,,,1187,,,0.9272000193595886,-0.9144768714904785
10,,,8.695833206176758,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.955078125,-0.9389902949333191,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.947265625,-0.9334976077079773,,
11,,,,1295,,,0.9305999875068665,-0.9186763763427734
11,,,10.008255958557129,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.955078125,-0.9327868819236755,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.935546875,-0.9224762320518494,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.92578125,-0.9174010753631592,,
12,,,,1403,,,0.9336000084877014,-0.9221882820129395
12,,,10.276182174682617,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.939453125,-0.9228895902633667,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.947265625,-0.9334929585456848,,
13,,,,1511,,,0.9376000165939331,-0.9244210720062256
13,,,9.973506927490234,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.953125,-0.9340956211090088,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.958984375,-0.9469019174575806,,
14,,,,1619,,,0.9372000098228455,-0.9269777536392212
14,,,10.753397941589355,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.955078125,-0.9407495260238647,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.962890625,-0.9486244916915894,,
15,,,,1727,,,0.9387999773025513,-0.930296778678894
15,,,11.723340034484863,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.95703125,-0.9406554698944092,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.958984375,-0.9512841105461121,,
16,,,,1835,,,0.9404000043869019,-0.9310094714164734
16,,,12.027599334716797,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.94921875,-0.9404149055480957,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.955078125,-0.944966197013855,,
17,,,,1943,,,0.9430000185966492,-0.9326491951942444
17,,,11.644434928894043,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.966796875,-0.9587057828903198,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.96875,-0.9621490836143494,,
18,,,18.369922637939453,1999,,,,
