epoch,lr-FloraAdamFactoredMAS/pg1,lr-FloraAdamFactoredMAS/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.71875,-0.6271222829818726,,
,0.001,0.001,,99,,,,
0,,,,99,0.869140625,-0.7974705696105957,,
0,,,,107,,,0.8942000269889832,-0.8177922368049622
0,,,13.087151527404785,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.880859375,-0.8479692935943604,,
,0.001,0.001,,199,,,,
1,,,,199,0.892578125,-0.862359881401062,,
1,,,,215,,,0.907800018787384,-0.8769118189811707
1,,,11.314398765563965,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.90625,-0.8795318007469177,,
,0.001,0.001,,299,,,,
2,,,,299,0.92578125,-0.9033210873603821,,
2,,,,323,,,0.9121999740600586,-0.8914543986320496
2,,,9.005860328674316,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.92578125,-0.9039053320884705,,
,0.001,0.001,,399,,,,
3,,,,399,0.919921875,-0.9043166041374207,,
3,,,,431,,,0.9164000153541565,-0.8998098373413086
3,,,11.171356201171875,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.923828125,-0.9065413475036621,,
,0.001,0.001,,499,,,,
4,,,,499,0.9140625,-0.8960103392601013,,
4,,,,539,,,0.9218000173568726,-0.9068512916564941
4,,,8.68869400024414,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.916015625,-0.8961145281791687,,
,0.001,0.001,,599,,,,
5,,,,599,0.939453125,-0.9266560077667236,,
5,,,,647,,,0.923799991607666,-0.910915732383728
5,,,8.417448043823242,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.955078125,-0.932084858417511,,
,0.001,0.001,,699,,,,
6,,,,699,0.921875,-0.9055001735687256,,
,0.001,0.001,,749,,,,
6,,,,749,0.9296875,-0.9196258783340454,,
6,,,,755,,,0.928600013256073,-0.9152103662490845
6,,,9.767512321472168,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.94140625,-0.924098014831543,,
,0.001,0.001,,849,,,,
7,,,,849,0.92578125,-0.9122912287712097,,
7,,,,863,,,0.930400013923645,-0.9184370040893555
7,,,9.923141479492188,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.923828125,-0.9090671539306641,,
,0.001,0.001,,949,,,,
8,,,,949,0.93359375,-0.9265021085739136,,
8,,,,971,,,0.9336000084877014,-0.9214128851890564
8,,,11.63905143737793,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.94140625,-0.9341917037963867,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.9296875,-0.9222226738929749,,
9,,,,1079,,,0.9376000165939331,-0.9237743020057678
9,,,6.654376029968262,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.939453125,-0.9250205159187317,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.94921875,-0.9323129653930664,,
10,,,,1187,,,0.9372000098228455,-0.926120400428772
10,,,9.156326293945312,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.947265625,-0.9351099729537964,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.9609375,-0.9484807252883911,,
11,,,,1295,,,0.9391999840736389,-0.9276772737503052
11,,,9.670433044433594,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.9453125,-0.937082827091217,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.947265625,-0.9345255494117737,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.943359375,-0.9285533428192139,,
12,,,,1403,,,0.9376000165939331,-0.9270570278167725
12,,,8.388651847839355,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.93359375,-0.9288777112960815,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.94921875,-0.9394670724868774,,
13,,,,1511,,,0.9395999908447266,-0.9295834898948669
13,,,9.700647354125977,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.9375,-0.9276410937309265,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.951171875,-0.9424793124198914,,
14,,,,1619,,,0.9413999915122986,-0.9322999119758606
14,,,10.210508346557617,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.93359375,-0.9306761622428894,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.93359375,-0.9223140478134155,,
15,,,,1727,,,0.9416000247001648,-0.9329810738563538
15,,,10.68724536895752,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.9453125,-0.9363078474998474,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.958984375,-0.9517244696617126,,
16,,,,1835,,,0.9434000253677368,-0.9350439310073853
16,,,9.728072166442871,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.94921875,-0.9435648918151855,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.9609375,-0.947420060634613,,
17,,,,1943,,,0.9440000057220459,-0.935908317565918
17,,,8.806832313537598,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.970703125,-0.9575722813606262,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.94921875,-0.939771294593811,,
18,,,17.78901481628418,1999,,,,
