epoch,lr-FloraAdamDecreasingRanks/pg1,lr-FloraAdamDecreasingRanks/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.734375,-0.6033117175102234,,
,0.001,0.001,,99,,,,
0,,,,99,0.740234375,-0.6878437399864197,,
0,,,,107,,,0.7609999775886536,-0.709174394607544
0,,,6.229671955108643,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.7734375,-0.7438774108886719,,
,0.001,0.001,,199,,,,
1,,,,199,0.736328125,-0.7094365358352661,,
1,,,,215,,,0.7662000060081482,-0.7405087947845459
1,,,6.8473968505859375,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.7734375,-0.7540685534477234,,
,0.001,0.001,,299,,,,
2,,,,299,0.82421875,-0.7919659614562988,,
2,,,,323,,,0.8371999859809875,-0.8050184845924377
2,,,5.066941738128662,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.849609375,-0.8256364464759827,,
,0.001,0.001,,399,,,,
3,,,,399,0.84375,-0.8213858008384705,,
3,,,,431,,,0.8452000021934509,-0.8247769474983215
3,,,4.977951526641846,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.853515625,-0.834160327911377,,
,0.001,0.001,,499,,,,
4,,,,499,0.833984375,-0.8167253136634827,,
4,,,,539,,,0.8485999703407288,-0.8328958749771118
4,,,8.270995140075684,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.859375,-0.8434626460075378,,
,0.001,0.001,,599,,,,
5,,,,599,0.845703125,-0.8320690989494324,,
5,,,,647,,,0.8507999777793884,-0.837816596031189
5,,,6.328895092010498,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.8515625,-0.8374766111373901,,
,0.001,0.001,,699,,,,
6,,,,699,0.89453125,-0.8766829967498779,,
,0.001,0.001,,749,,,,
6,,,,749,0.875,-0.8603668808937073,,
6,,,,755,,,0.9136000275611877,-0.8905133605003357
6,,,5.569322109222412,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.91015625,-0.8889001607894897,,
,0.001,0.001,,849,,,,
7,,,,849,0.943359375,-0.9207117557525635,,
7,,,,863,,,0.9187999963760376,-0.8998360633850098
7,,,8.812005996704102,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.953125,-0.9355406761169434,,
,0.001,0.001,,949,,,,
8,,,,949,0.943359375,-0.9191259741783142,,
8,,,,971,,,0.9192000031471252,-0.9032357335090637
8,,,5.204426288604736,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.943359375,-0.9272968769073486,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.9453125,-0.9306682348251343,,
9,,,,1079,,,0.9228000044822693,-0.9089502096176147
9,,,6.390182971954346,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.951171875,-0.9365863800048828,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.921875,-0.9064858555793762,,
10,,,,1187,,,0.9246000051498413,-0.9111642837524414
10,,,7.522436141967773,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.94921875,-0.937316358089447,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.947265625,-0.9296649694442749,,
11,,,,1295,,,0.9258000254631042,-0.9144161939620972
11,,,8.04760456085205,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.94921875,-0.9347696304321289,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.927734375,-0.9185120463371277,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.927734375,-0.9130387902259827,,
12,,,,1403,,,0.9254000186920166,-0.913754403591156
12,,,9.592220306396484,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.927734375,-0.9175100922584534,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.935546875,-0.924796998500824,,
13,,,,1511,,,0.9272000193595886,-0.9143155217170715
13,,,7.605280876159668,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.94140625,-0.9261628985404968,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.955078125,-0.942972719669342,,
14,,,,1619,,,0.925000011920929,-0.9138205051422119
14,,,8.384284019470215,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.935546875,-0.9293360114097595,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.943359375,-0.9332358241081238,,
15,,,,1727,,,0.9265999794006348,-0.9154151082038879
15,,,8.616658210754395,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.9375,-0.925278902053833,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.955078125,-0.9422884583473206,,
16,,,,1835,,,0.9273999929428101,-0.9166689515113831
16,,,9.17788028717041,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.939453125,-0.9253981113433838,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.953125,-0.9398457407951355,,
17,,,,1943,,,0.921999990940094,-0.9132487177848816
17,,,8.037467956542969,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.951171875,-0.9442996382713318,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.9609375,-0.9491791725158691,,
18,,,10.240548133850098,1999,,,,
