epoch,lr-FloraAdamDecreasingRanks/pg1,lr-FloraAdamDecreasingRanks/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.001,,49,,,,
0,,,,49,0.736328125,-0.5936377048492432,,
,0.001,0.001,,99,,,,
0,,,,99,0.85546875,-0.7606887817382812,,
0,,,,107,,,0.8848000168800354,-0.7929349541664124
0,,,9.001327514648438,107,,,,
,0.001,0.001,,149,,,,
1,,,,149,0.880859375,-0.8263495564460754,,
,0.001,0.001,,199,,,,
1,,,,199,0.8828125,-0.8430266380310059,,
1,,,,215,,,0.8988000154495239,-0.8582422733306885
1,,,9.1633939743042,215,,,,
,0.001,0.001,,249,,,,
2,,,,249,0.89453125,-0.8668169379234314,,
,0.001,0.001,,299,,,,
2,,,,299,0.912109375,-0.8829687833786011,,
2,,,,323,,,0.906000018119812,-0.8771882057189941
2,,,7.976625442504883,323,,,,
,0.001,0.001,,349,,,,
3,,,,349,0.923828125,-0.8940048217773438,,
,0.001,0.001,,399,,,,
3,,,,399,0.91796875,-0.8956113457679749,,
3,,,,431,,,0.9092000126838684,-0.8872657418251038
3,,,5.441372871398926,431,,,,
,0.001,0.001,,449,,,,
4,,,,449,0.912109375,-0.8943765163421631,,
,0.001,0.001,,499,,,,
4,,,,499,0.908203125,-0.8883911371231079,,
4,,,,539,,,0.9129999876022339,-0.8962733149528503
4,,,6.922408103942871,539,,,,
,0.001,0.001,,549,,,,
5,,,,549,0.90234375,-0.8818950653076172,,
,0.001,0.001,,599,,,,
5,,,,599,0.9453125,-0.9207637310028076,,
5,,,,647,,,0.9169999957084656,-0.9024708867073059
5,,,8.2589111328125,647,,,,
,0.001,0.001,,649,,,,
6,,,,649,0.9453125,-0.9232436418533325,,
,0.001,0.001,,699,,,,
6,,,,699,0.912109375,-0.8948137164115906,,
,0.001,0.001,,749,,,,
6,,,,749,0.923828125,-0.909682035446167,,
6,,,,755,,,0.9211999773979187,-0.9076693654060364
6,,,8.030695915222168,755,,,,
,0.001,0.001,,799,,,,
7,,,,799,0.927734375,-0.909352719783783,,
,0.001,0.001,,849,,,,
7,,,,849,0.9140625,-0.9051113128662109,,
7,,,,863,,,0.9246000051498413,-0.9113292098045349
7,,,8.173761367797852,863,,,,
,0.001,0.001,,899,,,,
8,,,,899,0.91796875,-0.9036873579025269,,
,0.001,0.001,,949,,,,
8,,,,949,0.927734375,-0.9164984822273254,,
8,,,,971,,,0.9251999855041504,-0.9137347936630249
8,,,6.938863277435303,971,,,,
,0.001,0.001,,999,,,,
9,,,,999,0.939453125,-0.9263666868209839,,
,0.001,0.001,,1049,,,,
9,,,,1049,0.92578125,-0.915773332118988,,
9,,,,1079,,,0.9287999868392944,-0.91738361120224
9,,,6.711318016052246,1079,,,,
,0.001,0.001,,1099,,,,
10,,,,1099,0.9375,-0.9198188185691833,,
,0.001,0.001,,1149,,,,
10,,,,1149,0.94140625,-0.9238115549087524,,
10,,,,1187,,,0.9308000206947327,-0.9194034337997437
10,,,9.545697212219238,1187,,,,
,0.001,0.001,,1199,,,,
11,,,,1199,0.939453125,-0.9225643873214722,,
,0.001,0.001,,1249,,,,
11,,,,1249,0.953125,-0.9409186244010925,,
11,,,,1295,,,0.930400013923645,-0.9206997156143188
11,,,7.253439426422119,1295,,,,
,0.001,0.001,,1299,,,,
12,,,,1299,0.9375,-0.9296579360961914,,
,0.001,0.001,,1349,,,,
12,,,,1349,0.9375,-0.9221644997596741,,
,0.001,0.001,,1399,,,,
12,,,,1399,0.93359375,-0.9188473224639893,,
12,,,,1403,,,0.9309999942779541,-0.9189176559448242
12,,,6.813274383544922,1403,,,,
,0.001,0.001,,1449,,,,
13,,,,1449,0.927734375,-0.9240354895591736,,
,0.001,0.001,,1499,,,,
13,,,,1499,0.94140625,-0.9303745627403259,,
13,,,,1511,,,0.9315999746322632,-0.9198006987571716
13,,,7.358021259307861,1511,,,,
,0.001,0.001,,1549,,,,
14,,,,1549,0.927734375,-0.9206004738807678,,
,0.001,0.001,,1599,,,,
14,,,,1599,0.9453125,-0.9330132603645325,,
14,,,,1619,,,0.9330000281333923,-0.9207122921943665
14,,,7.516802787780762,1619,,,,
,0.001,0.001,,1649,,,,
15,,,,1649,0.92578125,-0.91994708776474,,
,0.001,0.001,,1699,,,,
15,,,,1699,0.9296875,-0.9134670495986938,,
15,,,,1727,,,0.9326000213623047,-0.91916823387146
15,,,6.714383125305176,1727,,,,
,0.001,0.001,,1749,,,,
16,,,,1749,0.931640625,-0.9185805916786194,,
,0.001,0.001,,1799,,,,
16,,,,1799,0.947265625,-0.9364221096038818,,
16,,,,1835,,,0.9344000220298767,-0.9258599877357483
16,,,5.999940395355225,1835,,,,
,0.001,0.001,,1849,,,,
17,,,,1849,0.939453125,-0.9301103949546814,,
,0.001,0.001,,1899,,,,
17,,,,1899,0.939453125,-0.9321708679199219,,
17,,,,1943,,,0.9333999752998352,-0.9214130640029907
17,,,5.495970249176025,1943,,,,
,0.001,0.001,,1949,,,,
18,,,,1949,0.9375,-0.9345581531524658,,
,0.001,0.001,,1999,,,,
18,,,,1999,0.939453125,-0.9277144074440002,,
18,,,14.191500663757324,1999,,,,
